link,title,author,published,updatedate,chapters,language,words,kudos,comments,bookmarks,hits,warning,relationship,characters,tags,summary,rating,series,currentdate,datediff_pub,datediff,chapter,chapter_max,completion,classification,lastauthorupdate,firstauthorupdate,author_lastupdate_diff,daysactive,daysincefirtupload,author_activity,num_relationship,num_characters,num_tags,prev_words
https://archiveofourown.org/works/47422114,no other sadness in this world would do,lilrowantree,5/25/2023,5/25/2023,1-Jan,English,"2,000",5,2,0,81,Creator Chose Not To Use Archive Warnings,General Audiences,"Lucy Carlyle, Anthony Lockwood, Quill Kipps","this is my excuse to just rewrite scenes from the hunger games, casefic with no actual ghosts, they're on a quest, i will make them sad, author holds no regrets, i didnt tag it major character death but technically lockwood dies, can you tell i like the hunger games, angst?? i think??, author does not have a plan, I Wrote This While Listening to Taylor Swift's Music","Death had always had such a tight grasp on poor Anthony’s life, a phrase that seemed to echo through every DEPRAC officer and looming adult we met. It echoed through my own mind then, the words acting as the shattered glass stopping me from breaking down.The glass was broken now, and I fell to pieces on the floor next to him crying in a way that could not have been anything human.orA dwelling need for answers leads Lockwood & Co. on a unexpected hunt, through darkened tunnels with ashen walls and air that smells a little too close to smoke.orme rewriting scenes from the hunger games - The forcefield scene this time.",General Audiences,not a series,5/25/2023,0,0,1,1,completed,oneshot,5/25/2023,2/18/2023,0,96,96,active,1,3,10,0
https://archiveofourown.org/works/47421412,Good Lust,MagicPeach,5/25/2023,5/25/2023,1-Jan,English,"3,918",43,5,3,315,No Archive Warnings Apply,Explicit,"Lucy Carlyle, Anthony Lockwood","Established Relationship, Sparring, Swordplay, Spit As Lube, Vaginal Fingering, Hand Jobs, Cunnilingus, First Time, Loss of Virginity, Sweet/Hot, explicit but also not","Lucy gets worked up and frustrated after she and Lockwood have an intense training match.Also, those condoms find some use.~*~His room was closer, but the condoms were still in hers, burning a hole in the drawer of her bedside table. He must have reached the same conclusion, taking her hand as he stepped past, leading her up the stairs.",Explicit,Part 10 of The Weight of Us,5/25/2023,0,0,1,1,completed,oneshot,5/25/2023,3/17/2023,0,69,69,active,1,2,11,0
https://archiveofourown.org/works/47394868,Bet Your Love on Me,greywitchy,5/24/2023,5/25/2023,4-Mar,English,"3,761",8,2,0,77,No Archive Warnings Apply,General Audiences,"Quill Kipps, Lucy Carlyle, Anthony Lockwood, The Skull (Lockwood & Co.), George Cubbins | George Karim, Holly Munro","Love Confessions, Crushes, Awkward Flirting, Fluff, Domestic Fluff, Fluff and Humor, Pre-Relationship, Oblivious","""Bet I kiss him first?"" suggests Lockwood out of the blue.""I don't want to kiss Kipps,"" reminds Lucy.""No. Bet I can kiss my crush before you kiss yours?"" he explains.""You're on.""And so starts their bet of who's kissing who first: Lockwood – Kipps, or Lucy – the Skull",General Audiences,not a series,5/25/2023,1,0,3,4,incomplete,multichapter(updating),5/25/2023,5/12/2023,0,13,13,active,1,6,8,0
https://archiveofourown.org/works/47404399,A Small Problem,Lidzloves_literature,5/24/2023,5/24/2023,1-Jan,English,"2,061",23,2,2,253,Creator Chose Not To Use Archive Warnings,General Audiences,"Anthony Lockwood, Lucy Carlyle, George Cubbins | George Karim","Lucy turned into a baby, Lockwood doesn't exactly know how to work with children, George would make a good dad, George is the only thing holding Lockwood together at this point",Lucy mysteriously woke up as a baby and Lockwood and George have to figure out how to care for a child. They work together and it may or may not end in fluff.,General Audiences,not a series,5/25/2023,1,1,1,1,completed,oneshot,5/24/2023,5/17/2023,1,7,8,active,1,3,4,0
https://archiveofourown.org/works/47395024,Wednesday,eamenir,5/24/2023,5/24/2023,1-Jan,English,"1,682",49,3,4,397,No Archive Warnings Apply,General Audiences,"Lucy Carlyle, Anthony Lockwood","Locklyle, Locknation, Romance, Fluff, First Meetings, AU, Locklyle AU, savelockwoodandco, lockwood and co - Freeform","Every Wednesday between the hours of 5 and 8 in the evening, Anthony Lockwood would go to the library and proceed to tune out the world. Until she arrived to change his world completely.",General Audiences,Part 3 of Locklyle First Meetings,5/25/2023,1,1,1,1,completed,oneshot,5/24/2023,3/14/2023,1,71,72,active,1,2,9,0
https://archiveofourown.org/works/47387896,The Thunder Rolls,AriannaGrace,5/24/2023,5/24/2023,1-Jan,English,"1,176",99,8,6,495,No Archive Warnings Apply,General Audiences,"Lucy Carlyle, Anthony Lockwood, Norrie White (mentioned), Mr Jacobs (mentioned)","Thunderstorms, Rain, Panic Attacks, Post-Traumatic Stress Disorder - PTSD, all the agents have ptsd, Phobias, Astraphobia, Lockwood is a simp, Lucy Carlyle is a Mess, bruh i wrote this in like an hour, No Beta - We Die Like [Redacted], it got a little angsty, Angst and Hurt/Comfort",What happens when a thunderstorm hits London?,General Audiences,not a series,5/25/2023,1,1,1,1,completed,oneshot,5/24/2023,4/23/2023,1,31,32,active,1,4,13,0
https://archiveofourown.org/works/47386591,can't leave the night,synestheticwanderings,5/24/2023,5/24/2023,3-Jan,English,"1,429",118,8,6,527,No Archive Warnings Apply,Teen And Up Audiences,"Lucy Carlyle, Anthony Lockwood, The Skull (Lockwood & Co.)","Fluff and Angst, Fluff, Canon Compliant, post-TCS, Nightmares, Comfort, Sharing a Bed, slumberparty, Pining, Soft Anthony Lockwood, POV Anthony Lockwood, Anthony Lockwood Has Trauma, Lucy Carlyle needs a hug, Everyone Needs A Hug, Except Skull, or maybe especially Skull...","Quietly, he got out of bed, taking a glance at the clock on his bedside. It was 4am. This was becoming a habit, since Lucy came home, checking to make sure she was still there, still alive, still breathing. Checking to make sure she really had come home, that the one good thing that came out of that iron circle hadn’t been a dream.--(Lockwood has been sneaking up to the attic after the events of The Creeping Shadow to make sure Lucy’s really home safe at Portland Row. One night, he’s finally caught.)",Teen And Up Audiences,not a series,5/25/2023,1,1,1,3,incomplete,multichapter(updating),5/24/2023,5/24/2023,1,0,1,active,1,3,16,0
https://archiveofourown.org/works/47381956,Put Me On Display,MarsStarPower,5/23/2023,5/23/2023,1-Jan,English,"4,318",32,7,0,455,No Archive Warnings Apply,Explicit,"Lucy Carlyle, Anthony Lockwood","Dom/sub, BDSM, bdsm club, BDSM Scene, Rough Sex, Sex Toys, Voyeurism, Exhibitionism, Not Safe for Pandas, degradation kink, Dirty Talk, Dom!Lockwood, sub!lucy, Public Sex, Don't Like Don't Read, Safewords, Restraints, Aged Up",Lockwood and Lucy decide to try a BDSM Club,Explicit,"Part 5 of Yes, Sir",5/25/2023,2,2,1,1,completed,oneshot,5/25/2023,2/26/2023,0,88,88,active,1,2,18,0
https://archiveofourown.org/works/47379352,breathing in blind,certes,5/23/2023,5/23/2023,1-Jan,English,"4,024",39,13,3,175,No Archive Warnings Apply,Explicit,"Lucy Carlyle, Anthony Lockwood, Holly Munro","Masturbation, Accidental Voyeurism, Mildly Dubious Consent, hiding in a closet while ur crush jerks off in the same room, Not Actually Unrequited Love, Mutual Pining, Book 03: The Hollow Boy (Lockwood & Co.)","The image of just what Lockwood is doing mere metres from her flashes vivid in her mind again — except this time her brain has filled in the details, taken the glimpse she got through the crack of the closet door and expanded the view so she’s picturing the whole of it: Lockwood’s body stretched luxuriously out on his bed, his head probably thrown back into a pillow, legs tensing and relaxing, his hand moving in an unhurried stroke up and down.(or: lucy hides in lockwood's closet so she doesn't get caught snooping around in his room. she didn't expect him to start jerking off.)",Explicit,not a series,5/25/2023,2,2,1,1,completed,oneshot,5/23/2023,4/24/2023,2,29,31,active,1,3,7,0
https://archiveofourown.org/works/47170003,Breaking Point,ananimousbish,5/23/2023,5/23/2023,1/?,English,"6,592",69,21,4,434,Creator Chose Not To Use Archive Warnings,Explicit,"Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Holly Munro, Quill Kipps, The Skull (Lockwood & Co.)","Plot What Plot/Porn Without Plot, Porn with Feelings, First Kiss, First Time, Dry Humping, Pussyjob, Hand Jobs, Mutual Pining, Mutual Masturbation, Smut, Shameless Smut, Light Dom/sub, Aged-Up Character(s), Idiots in Love, Light Angst, Vaginal Fingering, Sex, Oral Sex, Masturbation, men screaming/roaring as they cum kink, Cock Worship, Pussy Worship, no definite timeline, Possessive Anthony Lockwood, Some Plot, Locklyle is the plot, Simp Anthony Lockwood, Willfully Obtuse Anthony Lockwood, Dirty Talk, They're both Horny Af, story got away from author and became a slow burn, POV Alternating, Sexual Tension","She's the most talented Listener he's ever met, Lockwood tells her. Hearing is the one sense she's honed and trained.So naturally, more than anything, what Lucy wants is to hear him scream.orLucy's dead set on seducing Lockwood. But will anything change when he's already absolutely and utterly in love with her?",Explicit,not a series,5/25/2023,2,2,1,?,incomplete,multichapter(updating),5/23/2023,5/23/2023,2,0,2,active,1,6,33,0
