link,title,author,published,updatedate,chapters,language,words,kudos,comments,bookmarks,hits,warning,relationship,characters,tags,summary,rating,series,chapter,chapter_max,completion,currentdate,datediff_pub,datediff,classification,lastauthorupdate,firstauthorupdate,author_lastupdate_diff,daysactive,daysincefirtupload,author_activity,num_relationship,num_characters,num_tags,prev_words
https://archiveofourown.org/works/47479732,My Lipstick Looks Good On Your Face,GabyU07,2023-05-28,2023-05-28,1/1,English,"3,774",52,2,3,503,Creator Chose Not To Use Archive Warnings,"Lucy Carlyle/Anthony Lockwood, Flo Bones/George Cubbins | George Karim","George Cubbins | George Karim, Lucy Carlyle, Anthony Lockwood, Flo Bones","Universe where taylor swift exists, because she is the best and should always exist, if you have any idea about tags help me because I dont","“I swear I truly don’t know if to be happy because your thick heads finally figured everything out or murder you about your bloody awful timing to do this shit here right now” George whisper yelled.“Surprise?” Lucy asked innocently for the first time since they were discovered.George sent them a withering look.“You two are incredibly lucky there’s is already people trying to murder us because I-”.As if on cue, voices outside the room interrupted his threat.“Find them, they are still here!”.",Teen And Up Audiences,not a series,1,1,completed,2023-06-02,5.0,5.0,oneshot,2023-05-28,2023-03-29,5.0,60.0,65.0,active,2,4,3,0
https://archiveofourown.org/works/47126380,we might just get away with it,Pages_turn,2023-05-12,2023-05-15,2/?,English,"11,884",124,33,11,"1,362",No Archive Warnings Apply,Lucy Carlyle/Anthony Lockwood,,"Smut, Masturbation, Mutual Pining, Vaginal Fingering, Other Additional Tags to Be Added, Switch!Anthony Lockwood, Switch!Lucy Carlyle, Soft Anthony Lockwood, Body Worship, Oral Sex, Shower Sex, Light Dom/sub, light degradation","Lucy took a huge breath and burst, “I haven’t been able to get myself off in two weeks because we’ve been too busy and whenever I think I’m going to get the chance, one of you always comes home early or realise you need me for something and I finally decided I could ignore that today but now here you are, interrupting me again! And you know what’s worse? None of that even matters because I can’t fucking get myself there!”“Oh.”“Yeah.” Lucy stared at the bannister. “You should go and leave me to die in misery.”Lockwood tilted his head. “That’s one option.”She let out a slow breath through her nose.“And the other?”His throat bobbed as he swallowed. If he’d calculated this wrong, she was going to kill him. “I could help you.” orLockwood finds Lucy in quite the predicament, and generously offers his help. More tags to be added as we go!",Explicit,not a series,2,?,incomplete,2023-06-02,21.0,18.0,multichapter(updating),2023-05-25,2023-03-18,8.0,68.0,76.0,active,1,0,13,"11,884"
https://archiveofourown.org/works/47359027,catch the last sun before it goes,the_one_that_fell,2023-05-22,2023-05-22,1/1,English,"3,404",65,23,2,305,No Archive Warnings Apply,Lucy Carlyle & Quill Kipps,"Lucy Carlyle, Quill Kipps, Anthony Lockwood, Holly Munro, George Cubbins | George Karim, Danny Skinner",,"“You look like shit,” He said in lieu of a greeting.   Lucy rolled her eyes. “You know, it’s astonishing you don’t have a girlfriend.”   Kipps didn’t take the bait. “You don’t want to play that game with me, Carlyle. Why do you look like shit?”  Lucy feels directionless.",Teen And Up Audiences,Part 7 of take pride in what is sure to die,1,1,completed,2023-06-02,11.0,11.0,oneshot,2023-06-01,2015-06-30,1.0,2893.0,2894.0,active,1,6,0,"3,404"
https://archiveofourown.org/works/47226187,These two pink lines,Saccharomyces_97,2023-05-16,2023-05-31,4/?,English,"18,546",175,59,11,"1,980",Graphic Depictions Of Violence,"Lucy Carlyle/Anthony Lockwood, Holly Munro/Holly Munro's Girlfriend","Lucy Carlyle, Anthony Lockwood, Holly Munro, George Cubbins | George Karim, Quill Kipps, Flo Bones, Kat Godwin","Established Relationship, Future Fic, Pregnancy, Unplanned Pregnancy, Pregnancy Scares, Past Child Abuse, Implied/Referenced Child Abuse, Angst, Fluff, Domestic Fluff, Miscommunication",Lucy and Lockwood’s road to parenthood,Teen And Up Audiences,not a series,4,?,incomplete,2023-06-02,17.0,2.0,multichapter(updating),2023-05-31,2023-04-07,2.0,54.0,56.0,active,2,7,11,"13,810"
https://archiveofourown.org/works/47439058,Agents and Arrows,nevercatchme,2023-05-26,2023-05-30,3/3,English,"6,576",44,24,3,403,Creator Chose Not To Use Archive Warnings,"Lucy Carlyle/Anthony Lockwood, Holly Munro/Holly Munro's Girlfriend, Lucy Carlyle & George Cubbins | George Karim & Anthony Lockwood & Holly Munro, Lucy Carlyle & George Cubbins | George Karim & Quill Kipps & Anthony Lockwood","Holly Munro's Girlfriend, Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Quill Kipps, Holly Munro","My First Work in This Fandom, Characters Play Dungeons & Dragons, This prompt was a gift, But also this got away from me, Fluff and Humor, Minor sexy themes, POV Outsider, POV Third Person, Holly’s girlfriend is the DM, A BRAVE WOMAN, no beta we die like ned shaw, Characters are a book and TV meld really","Herberos leapt up onto the giant’s back, rapier held between his teeth. He climbed up the ragged brown cloth that served as its clothing, until he reached the head. There, he pulled out Minty’s crossbow bolt, from where it still pierced the giant’s neck. Wielding it like a stake, he plunged it into the brain and…“Lockwood!”“Tony!”“You can’t just make up whatever you want!”“That’s at minimum an athletics check, Lockwood.”Naomi sighed. She knew she ought to be used to it by now. Holly had warned her. And they were actually a really fun group. She supposed agents needed to think creatively on the job, so they had some imagination and the Lockwood and Co. team really brought it with them to the game table. They just didn’t always bring it with them in a way conducive to a game of Dungeons and Dragons.-—-—-—-—-—-—Holly’s girlfriend has got Lockwood & Co. playing D&D. They are not necessarily all playing the same game.",Teen And Up Audiences,not a series,3,3,completed,2023-06-02,7.0,3.0,multichapter(complete),2023-05-30,2023-05-26,3.0,4.0,7.0,active,4,6,12,0
https://archiveofourown.org/works/45554884,carefully I was going to live,blvewcters,2023-03-07,2023-03-07,1/1,English,"4,293",435,31,53,"2,650",No Archive Warnings Apply,"Lucy Carlyle/Anthony Lockwood, George Cubbins | George Karim & Anthony Lockwood","Anthony Lockwood, Lucy Carlyle, George Cubbins | George Karim","Hurt/Comfort, Blood and Injury, First Kiss, Forehead Kisses, Idiots in Love, Concussions, Suicidal Thoughts, (nothing too bad - just Lockwood's disregard for his life), Found Family, Getting Together, Fluff and Angst","Lockwood gets the feeling they could go back and forth like this for hours; sharing tiny, infinitesimal touches that mean more than they should, speaking the others name until it lost any previous meaning.“Will you kiss me,” he says instead, “Please?”-(Lockwood gets injured, Lucy and George patch him up, and Locklyle finally get their shit together)",General Audiences,not a series,1,1,completed,2023-06-02,87.0,87.0,oneshot,2023-03-07,2023-02-22,87.0,13.0,100.0,inactive,2,3,11,0
https://archiveofourown.org/works/46833823,We're just a normal agency,catmomtac,2023-04-29,2023-05-07,4/4,English,"1,004",32,5,2,449,Creator Chose Not To Use Archive Warnings,"Lucy Carlyle/Anthony Lockwood, Lucy Carlyle & George Cubbins | George Karim & Anthony Lockwood","Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim","just for fun, Light Angst, TV show vibes, american writing brits, maybe some locklyle","Some drabbles (or maybe one-shots?) inspired by the TV show quote,""we're just a normal agency who needs a job""Lockwood &co take odd jobs to make ends meet, none go well.",Not Rated,not a series,4,4,completed,2023-06-02,34.0,26.0,multichapter(complete),2023-05-30,2023-04-29,3.0,31.0,34.0,active,2,3,5,"1,004"
https://archiveofourown.org/works/47542519,Say Yes to Heaven,sunflowercathy,2023-05-30,2023-05-30,1/1,English,"3,042",75,3,0,728,Creator Chose Not To Use Archive Warnings,Lucy Carlyle/Anthony Lockwood,"Anthony Lockwood, Lucy Carlyle","Sexual Tension, Pining, Pre-Relationship, Sexual Frustration, Fight Sex, Idiots in Love, Self-Hatred, Lockwood would do anything for Lucy","The moment had broken, her face had turned angry as she pushed herself off of him. He wanted to scream - he wanted to take all the dreams of glory and hopes and that constant, suffocating desire he felt around her and turn them to dust with bloody knuckles. He wanted to kiss her eyelids and promise her safety. Safety he could not provide.____Lockwood and Lucy come home after a case gone wrong and Lockwood pushes her until she finally snaps - frustrated and fed up, they start yelling at each other. Something has to give.",Mature,not a series,1,1,completed,2023-06-02,3.0,3.0,oneshot,2023-05-30,2023-02-17,3.0,102.0,105.0,active,1,2,8,0
https://archiveofourown.org/works/46704472,A little post-river pick-me-up.,Somesophie,2023-04-23,2023-04-23,1/1,English,"2,023",1,0,1,38,Creator Chose Not To Use Archive WarningsNo Archive Warnings Apply,Lucy Carlyle/Reader,"Anthony Lockwood, Lucy Carlyle, George Cubbins | George Karim","Hurt/Comfort, Angst with a Happy Ending, Fluff, Comfort Food, domestic ending because i'm weak, Established Relationship, nothing overly romantic, reader is anthony's cousin, No use of y/n, POV Second Person",You make panqueques con dulce de leche for the team after the shiver-inducing Thamesis fiasco.orA much more comforting and peaceful episode 7 follow-up.,General Audiences,not a series,1,1,completed,2023-06-02,40.0,40.0,oneshot,2023-05-05,2023-04-23,28.0,12.0,40.0,active,1,3,10,"2,023"
https://archiveofourown.org/works/46936312,Wish You Were Here,YellowBelly,2023-05-04,2023-05-31,4/15,English,"11,066",72,17,7,576,No Archive Warnings Apply,"Lucy Carlyle & Anthony Lockwood, George Cubbins | George Karim & Anthony Lockwood, Lucy Carlyle & Norrie White, Lucy Carlyle/Anthony Lockwood","Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Norrie White, Quill Kipps, The Skull (Lockwood & Co.)","Hurt/Comfort, Angst, Angst with a Happy Ending, Case Fic, kind of, ghost-lock, George's Theories, the Bone Glass, Everyone Needs A Hug, Everyone Gets A Hug, eventually, Lockwood and Lucy team-up to save George and Norrie, that's it that's the fic, with adventures and intrigue making their lives much harder, kipps is there, sometimes, technically locklyle but they just met, so those crushes are just kicking off, More tags to be added","Lucy Carlyle never found that advertisement in the paper, and is an unlicensed freelancer trying to stay under DEPRAC's radar while working solo in London. Lockwood's fresh off a case gone horribly wrong, and just wants his best friend back. Lucy can relate. Maybe they can both get what they want. If, of course, they manage to survive that long.",Teen And Up Audiences,Part 1 of My Lockwood and Co fics,4,15,incomplete,2023-06-02,29.0,2.0,multichapter(updating),2023-05-31,2023-03-06,2.0,86.0,88.0,active,4,6,19,"7,970"
