link,title,author,published,updatedate,chapters,language,words,kudos,comments,bookmarks,hits,warning,relationship,characters,tags,summary,rating,series,chapter,chapter_max,completion,currentdate,datediff_pub,datediff,classification,lastauthorupdate,firstauthorupdate,author_lastupdate_diff,daysactive,daysincefirtupload,author_activity,num_relationship,num_characters,num_tags,prev_words,prev_hits,prev_kudos,prev_comments,prev_bookmarks
https://archiveofourown.org/works/44791411,Easily done,The_Biscuit_Agreement,2023-02-04,2023-02-04,1/1,English,"1,394",162,25,15,644,No Archive Warnings Apply,,"George Cubbins | George Karim, Lucy Carlyle, Anthony Lockwood","Comedy, Surgery, Ghosts","""We are containing the source,"" Lockwood told her.Lucy shook her head, going to lift the net off her face.""We don't even know where the source is,"" she returned.""We do. Trust me,"" Lockwood replied.""I ate it,"" George said, sheepishly.",Teen And Up Audiences,not a series,1,1,completed,2023-06-16,132,132,oneshot,2023-06-06,2023-01-30,10,127,137,active,0,3,3,"1,394",640,161,25.0,15.0
https://archiveofourown.org/works/47484628,I will trust you,nemesisn15,2023-05-28,2023-05-28,1/1,English,"1,503",78,5,1,643,No Archive Warnings Apply,"Lucy Carlyle/Anthony Lockwood, Lucy Carlyle & Anthony Lockwood","Lucy Carlyle, Anthony Lockwood","Locklyle, First Kiss, Shopping",Lucy and Lockwood running errands and enjoying each other's company on a Friday afternoon in London.,General Audiences,not a series,1,1,completed,2023-06-16,19,19,oneshot,2023-06-11,2023-05-04,5,38,43,active,2,2,3,"1,503",596,71,5.0,1.0
https://archiveofourown.org/works/45235999,she feels like home,stilesospoon,2023-02-22,2023-02-22,1/1,English,"3,286",94,4,10,"1,818",No Archive Warnings Apply,Lucy Carlyle/Anthony Lockwood,"Anthony Lockwood, Lucy Carlyle, Jessica Lockwood, George Cubbins | George Karim, Donald Lockwood, Celia Lockwood","Anthony Lockwood Needs a Hug, POV Anthony Lockwood, 35 Portland Row | Lockwood & Co. Headquarters, Anthony Lockwood has panic attacks, anthony lockwood trauma, Panic Attacks, lucy carlyle helps lockwood, mention of lockwood's sister","after waking from a nightmare, Lockwood locks himself in the bathroom whilst dealing with a panic attack. Lucy hears him and goes to check on him.----contains mention of Lockwood's sister and what happened to her",General Audiences,not a series,1,1,completed,2023-06-16,114,114,oneshot,2023-02-22,2023-02-22,114,0,114,inactive,1,6,8,"3,286","1,788",94,4.0,10.0
https://archiveofourown.org/works/45056584,Why So Sad?,Random_Nerd3,2023-02-15,2023-02-15,1/1,English,"4,601",248,10,24,"2,248",No Archive Warnings Apply,"Lucy Carlyle/Anthony Lockwood, Lucy Carlyle & George Cubbins | George Karim & Anthony Lockwood, Lucy Carlyle & George Cubbins | George Karim","Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim","Hurt/Comfort, Angst, References to Depression, Implied Relationships, Anthony Lockwood Needs a Hug, Hurt Anthony Lockwood, Spoilers for Lockwood and Co Season 1, Tired Lucy Carlyle, Lucy Carlyle And Anthony Lockwood Are In Love, George Karim Is Wife Material, Mental Health Issues, Anthony Lockwood Needs Therapy, He Gets Lucy Carlyle Instead, I Made Myself Cry, Author Is Sleep Deprived, Not A Fix-It, Except Kind It Kind Of Is???, The Biscut Rule, The Author Regrets Nothing, Mentions of Blood, Anthony Lockwood Has Trauma, Mild Blood, implied bipolar disorder, Lucy Carlyle Also Needs Therapy, She Does Not Get It, Its Ok Though They Have Each Other, OTP Feels",“We haven’t seen him since the Thomas case.”“I know.”“The Thomas case was three days ago.”“I know.”“He’s barely come out of his room.”“I’m aware of the declining status of his mental health thank you very much.”Lockwood was a man of many secrets and a traumatizing past. He had a knack at being just enough reckless. He often narrowly escaped cases with the skin off his back. Lockwood’s overconfidence had a tendency to come off as invincibility. It was all too easy for them to forget he wasn’t. For her to forget. It would be infuriating if she wasn’t so in love with him.orLocklyle is my comfort ship now so they must suffer together. Thems the rules besties buckle up its a wild ride.Title taken from The Amazing Devil's Little Miss Why So Sad?,Teen And Up Audiences,Part 2 of Lockwood & His Collection Of Idiots,1,1,completed,2023-06-16,121,121,oneshot,2023-06-02,2023-02-09,14,113,127,active,3,3,27,"4,601","2,217",246,10.0,23.0
https://archiveofourown.org/works/47517634,It’s a No-Chance Showmance (I Don’t Mix Work With Pleasure),HeavyOnTheTragedy,2023-05-29,2023-06-14,3/?,English,"7,621",22,4,2,292,Creator Chose Not To Use Archive Warnings,"Lucy Carlyle/Anthony Lockwood, Holly Munro/Holly Munro's Girlfriend, Lucy Carlyle & George Cubbins | George Karim & Quill Kipps & Anthony Lockwood, & Holly, &the skull, Kat Godwin & Quill Kipps & Ned Shaw & Bobby Vernon","Lucy Carlyle, Lucy Carlyle's Sisters, Anthony Lockwood, The Skull (Lockwood & Co.), Jessica Lockwood, Holly Munro, Holly Munro's Girlfriend, George Cubbins | George Karim, Kat Godwin, Bobby Vernon, Ned Shaw, Quill Kipps, qweeeeel keeeps, Marissa Fittes, Penelope Fittes, Ezekiel (Lockwood & Co.), Montagu Barnes, Arif (Lockwood & Co.)","They’re all friends ok, Theater AU, Alternate Universe - High School, stage manager!lucy, actor!almost everyone else, music major!quill kipps, Little Shop of Horrors References, that’s their show, lucy and lockwood are in love and everyone else knows it, not them tho, more tags to come, As mulyle as this may seem they’re just girls in theater sorry, the farthest thing from beta read, beta reading is over here, blocking, sexual tension but not, more munlyle flirting, and over her is what ever this is","When Kat, who play Audrey in their school’s productions of Little Shop of Horrors gets sick a day before opening night the assistant stage, Lucy, has to quickly learn her part to save the show.Romance and theater kid shenanigans ensue. Title form never really acting at all by Melina K B",Teen And Up Audiences,not a series,3,?,incomplete,2023-06-16,18,2,multichapter(updating),2023-06-14,2022-03-06,2,465,467,active,6,18,18,"4,356",204,18,2.0,2.0
https://archiveofourown.org/works/46912513,Sparkle Like Bowie in the Morning Sun,alphabetsoup4u,2023-05-03,2023-05-03,1/1,English,"5,973",69,12,10,479,No Archive Warnings Apply,"Lucy Carlyle/George Cubbins | George Karim/Anthony Lockwood, Lucy Carlyle/Anthony Lockwood, George Cubbins | George Karim/Anthony Lockwood, Lucy Carlyle/George Cubbins | George Karim","Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, The Skull (Lockwood & Co.)","Typical Lockwood Angst, cot3, Sickfic, But not in the way you're thinking, Hurt/Comfort, The Scientific Method, Lucy is the only one with common sense, Sharing a Bed, First Kiss, Chaos","It all starts when one of the goth ghost cult chicks bites him. Bites him hard enough to draw blood, and for Lucy to tell him that they need to patch it up, lest he get rabies.- - -When Lockwood gets bit on a case, and starts to feel funny, he becomes convinced that he's become a vampire. But will he manage to convince George and Lucy? (Both of whom he is head over heels for.) But most importantly, can he still eat garlic bread?",Teen And Up Audiences,not a series,1,1,completed,2023-06-16,44,44,oneshot,2023-05-03,2023-02-13,44,79,123,active,4,4,10,"5,973",449,64,12.0,9.0
https://archiveofourown.org/works/47159170,not enough time (too much time),octogonalotto,2023-05-14,2023-06-06,2/?,English,"14,422",26,8,3,366,Major Character Death,"Lucy Carlyle/Anthony Lockwood, Anthony Lockwood & Lucy Carlyle & George Cubbins, Lucy Carlyle & Holly Munro, Anthony Lockwood & Lucy Carlyle & George Cubbins & Holly Munro & Quill Kipps","Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Holly Munro, Quill Kipps","Montague Barnes - mentioned, Time Loop, Hurt/Comfort, Emotional Hurt/Comfort, Angst, Suicidal Thoughts, Eventual Happy Ending, Whump, POV Lucy Carlyle, Lucy Carlyle needs a hug, Post-Book 05: The Empty Grave (Lockwood & Co.), slight spoilers for The Empty Grave and The Creeping Shadow, Lucy Carlyle Centric, Protective Quill Kipps, No Skull, Found Family, canon-typical relationships, Temporary Character Death, Dissociation, Grief/Mourning, Chekhov's Gun, except it's more like Chekhov's Firing Squad and the author barely knows how firearms work, tags will update as I think of more",The flames had started in the kitchen downstairs. He didn’t know how. Probably the stove or something. An accident.  Lucy didn't have enough time. Not enough time to save her family. To save anyone that she really cared about. There was never enough time. There wasn’t enough time to get out of the house. Not enough time to have called for help. Not enough time for the fire brigade to come save him. Not enough time to hug his parents one last time.  Lucy has too much time. And she can't make it stop.,General Audiences,not a series,2,?,incomplete,2023-06-16,33,10,multichapter(updating),2023-06-06,2023-05-14,10,23,33,active,4,5,23,"14,422",332,23,7.0,3.0
https://archiveofourown.org/works/44970565,Don't Blink,AlisoneDavies,2023-02-12,2023-02-12,1/1,Français,"3,621",0,6,0,57,Graphic Depictions Of Violence,Kaz Brekker/Original Female Character(s),"Author - Character, Myself, Kaz Brekker, Original Female Character(s), Weeping Angel(s) (Doctor Who)","Post-Traumatic Stress Disorder - PTSD, Nightmares, Nightmare Fuel, Weeping Angels - Freeform, Kaz Brekker Needs a Hug, Hurt Kaz Brekker, Protective Kaz Brekker, Falling In Love, Idiots in Love, Magic, Magical Realism, Escape, Bus, Haunted Houses, Book 1: The Screaming Staircase, The Red Room, Ghosts, Blood and Injury, Tenth Doctor Era, Mentioned Tenth Doctor, Music","Deux Anges Pleureurs, un accident en bus, des Fantômes de Type 2 dans la Red Room, une foule de gens et une cachette improbable dans des combles... Pourquoi ça n'arrive toujours qu'à moi ?",Mature,Part 66 of Cauchemars en série,1,1,completed,2023-06-16,124,124,oneshot,2023-02-26,2023-02-07,110,19,129,inactive,1,5,21,"3,621",56,0,6.0,0.0
https://archiveofourown.org/works/45264931,That's The Living (All Messed Up),pearlcaddy,2023-02-23,2023-03-18,2/7,English,"15,988",177,58,26,"2,152",No Archive Warnings Apply,Lucy Carlyle/Anthony Lockwood,"Lucy Carlyle, Anthony Lockwood","Alternate Universe - Buffy The Vampire Slayer Fusion, Banter, Strangers to Friends to Lovers, Pining, Angst with a Happy Ending, Suggestive Themes, 6+1, Slayer!Lucy, Civilian!Lockwood, Minor Injuries","Six times Lockwood checks Lucy’s injuries in a crisis + one time he does it in a celebration After her best friends get killed on her watch, Lucy the vampire slayer flees to London to start a new life at the Watchers' Council Headquarters. She’s learned her lesson—never bring a civilian into the field.Anthony Lockwood has other ideas.(A Buffy AU, but you don’t need to know anything about Buffy)",Teen And Up Audiences,not a series,2,7,incomplete,2023-06-16,113,90,multichapter(dormant),2023-04-01,2023-02-07,76,53,129,inactive,1,2,10,"15,988","2,097",177,58.0,26.0
https://archiveofourown.org/works/46930393,The Waiting Game,SarahAki,2023-05-03,2023-05-03,1/1,English,795,58,0,1,587,Creator Chose Not To Use Archive Warnings,"Lucy Carlyle/Anthony Lockwood, Lucy Carlyle & George Cubbins | George Karim & Anthony Lockwood","Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim","Angst, Hurt/Comfort",Lockwood waits for the doorbell to ring,General Audiences,not a series,1,1,completed,2023-06-16,44,44,oneshot,2023-06-14,2023-03-07,2,99,101,active,2,3,2,795,580,58,0.0,1.0
