,author_id,author,joined_ao3
0,3298896,Ma6icki,2017-07-25
1,9206418,imacrazyangel13,2020-12-19
2,6198317,thewinterlamb,2019-10-17
3,18741883,helloimsomeone,2023-08-23
4,18734290,Windowmomfriend,2023-08-22
5,11056541,geminipixie,2021-05-14
6,147249,displayheartcode,2013-03-29
7,13041046,P1xySt1x_7,2022-01-07
8,6943168,Aquarius_girl,2020-03-06
9,162689,epsilonics,2013-05-12
10,8102887,dappledleaves,2020-08-10
11,18587074,ukulelevillainwrites,2023-08-12
12,15135258,NiahmDaFoe,2022-09-08
13,18178006,lockyandluce,2023-07-09
14,16869568,GhostCulture,2023-03-16
15,9444414,Julex,2021-01-02
16,9232215,cryptidbear,2020-12-21
17,16576195,FinalFile05,2023-02-16
18,164762,lucie,2013-05-17
19,3248667,milohii,2017-07-08
20,1760866,buggybugs,2016-01-08
21,18391201,GuardianDragonLady,2023-07-28
22,16421353,magpie_song,2023-01-31
23,1159,nan,2009-11-15
24,18551626,Sc11vb,2023-08-09
25,18561442,katherinen2002,2023-08-10
26,13345069,vynsale,2022-02-06
27,18482560,ghstlock,2023-08-04
28,13283842,J_is_broken,2022-01-31
29,15731506,asthemoonlovesthestars,2022-11-22
30,17693491,amature_cession22,2023-06-02
31,17235478,Chocy_Milk,2023-04-18
32,13655830,Squid52,2022-03-10
33,1760866,literaryelegance,2016-01-08
34,6999,Cornerofmadness,2010-05-17
35,14646558,Telvannicon,2022-07-15
36,18278386,Shananigans24,2023-07-20
37,15196848,IgnoreeverythingIdo,2022-09-14
38,18270649,hnicolaaa,2023-07-19
39,18296326,Smuttyfluffbiscuit,2023-07-21
40,17913094,pick_lemons__5283,2023-06-19
41,9878187,Writerboi101,2021-01-27
42,1159,nan,2009-11-15
43,7140106,scarlettaylor,2020-04-01
44,174478,Polkadot_Paragua,2013-06-13
45,686915,Jazzamatazz,2014-09-22
46,18153325,SciroccoOrion,2023-07-07
47,18190984,dancing_in_starlight,2023-07-10
48,9708987,valkrose,2021-01-17
49,1159,nan,2009-11-15
50,3599988,nonbinary_writer_pal,2017-11-29
51,18100114,LeonaBelle,2023-07-03
52,7212916,buttonupshirt,2020-04-09
53,7800,blithers,2010-07-10
54,17984590,justabeeinahive,2023-06-24
55,17985625,spicybakerybitch,2023-06-25
56,17982241,WaitingForTheSunrise,2023-06-24
57,15263322,repealciel,2022-09-20
58,17281396,imasatelliteheart,2023-04-22
59,5866990,Euphor,2019-08-12
60,6483838,Valadilen,2019-12-25
61,9293061,suspiciousofgingers,2020-12-23
62,17436517,you_need_a_ladder,2023-05-06
63,17765812,Archiveoftara,2023-06-08
64,7039789,agentkatniss (katnisspond),2020-03-17
65,9993930,TheHeavenlyChild,2021-02-04
66,11812930,ATalkingCat,2021-08-07
67,33469,g_thorn,2012-01-16
68,1159,None,2009-11-15
69,5599630,StarWritingFlute200,2019-06-12
70,3916611,BrooklynBooks,2018-03-20
71,11390365,Angstyboiiiiii,2021-06-15
72,8257627,losttosleep,2020-09-01
73,5292218,SplinteredEmotions,2019-03-28
74,17947567,cassiopeia_story,2023-06-22
75,8417542,bydayornight,2020-09-24
76,12711571,Historygirl22,2021-11-20
77,3008151,jhyxn (suedive),2017-04-14
78,16480411,VerdetCadet,2023-02-07
79,17537086,Renaissancebee,2023-05-16
80,16837528,rowena_soreland,2023-03-13
81,8355079,Rose (mysticalllcrab),2020-09-15
82,16865860,plattypie_humano,2023-03-16
83,6795775,angel_in_a_big_blue_box,2020-02-20
84,15290670,Marquis_de_lafayette,2022-09-23
85,2158912,bleuboxes,2016-06-01
86,11464138,egrets,2021-06-21
87,8542795,Mothman12,2020-10-13
88,1095901,carlyrarnold,2015-04-12
89,10296033,marina_aniram,2021-02-23
90,16837528,jwrites23 (rowena_soreland),2023-03-13
91,2889062,McKat,2017-03-06
92,11032043,ersatzist,2021-05-11
93,13764538,mayfloweruru,2022-03-22
94,14142288,crow_blue,2022-05-12
95,16848577,tvngerine_zso,2023-03-14
96,12279436,krash_8,2021-09-24
97,5036057,George_the_Pumpkin,2019-01-18
98,3240345,LilytheFlower,2017-07-06
99,7018408,TheElf,2020-03-14
100,9495420,saheeli,2021-01-06
101,1258444,whytho,2015-06-08
102,8699371,stilesospoon,2020-11-07
103,9200883,saiwriteswords,2020-12-18
104,16752085,Lolismaname,2023-03-05
105,4324692,Lissygray,2018-07-13
106,1895115,spillingwords,2016-03-02
107,3868368,Stars_that_fall,2018-03-08
108,3579405,MissFit,2017-11-25
109,12453472,zeddmarker_ficlets (zeddmarker),2021-10-16
110,14358585,Depressed_aroace,2022-06-11
