,fanfic_id,update_date,character
0,44791411,2023-02-04,George Cubbins | George Karim
1,44791411,2023-02-04,Lucy Carlyle
2,44791411,2023-02-04,Anthony Lockwood
3,47484628,2023-05-28,Lucy Carlyle
4,47484628,2023-05-28,Anthony Lockwood
5,45235999,2023-02-22,Anthony Lockwood
6,45235999,2023-02-22,Lucy Carlyle
7,45235999,2023-02-22,Jessica Lockwood
8,45235999,2023-02-22,George Cubbins | George Karim
9,45235999,2023-02-22,Donald Lockwood
10,45235999,2023-02-22,Celia Lockwood
11,45056584,2023-02-15,Lucy Carlyle
12,45056584,2023-02-15,Anthony Lockwood
13,45056584,2023-02-15,George Cubbins | George Karim
14,47517634,2023-06-19,Lucy Carlyle
15,47517634,2023-06-19,Lucy Carlyle's Sisters
16,47517634,2023-06-19,Anthony Lockwood
17,47517634,2023-06-19,The Skull (Lockwood & Co.)
18,47517634,2023-06-19,Jessica Lockwood
19,47517634,2023-06-19,Holly Munro
20,47517634,2023-06-19,Holly Munro's Girlfriend
21,47517634,2023-06-19,George Cubbins | George Karim
22,47517634,2023-06-19,Kat Godwin
23,47517634,2023-06-19,Bobby Vernon
24,47517634,2023-06-19,Ned Shaw
25,47517634,2023-06-19,Quill Kipps
26,47517634,2023-06-19,qweeeeel keeeps
27,47517634,2023-06-19,Marissa Fittes
28,47517634,2023-06-19,Penelope Fittes
29,47517634,2023-06-19,Ezekiel (Lockwood & Co.)
30,47517634,2023-06-19,Montagu Barnes
31,47517634,2023-06-19,Arif (Lockwood & Co.)
32,46912513,2023-05-03,Lucy Carlyle
33,46912513,2023-05-03,Anthony Lockwood
34,46912513,2023-05-03,George Cubbins | George Karim
35,46912513,2023-05-03,The Skull (Lockwood & Co.)
36,47159170,2023-06-06,Lucy Carlyle
37,47159170,2023-06-06,Anthony Lockwood
38,47159170,2023-06-06,George Cubbins | George Karim
39,47159170,2023-06-06,Holly Munro
40,47159170,2023-06-06,Quill Kipps
41,44970565,2023-02-12,Author - Character
42,44970565,2023-02-12,Myself
43,44970565,2023-02-12,Kaz Brekker
44,44970565,2023-02-12,Original Female Character(s)
45,44970565,2023-02-12,Weeping Angel(s) (Doctor Who)
46,45264931,2023-03-18,Lucy Carlyle
47,45264931,2023-03-18,Anthony Lockwood
48,46930393,2023-05-03,Lucy Carlyle
49,46930393,2023-05-03,Anthony Lockwood
50,46930393,2023-05-03,George Cubbins | George Karim
51,46885396,2023-05-01,Lucy Carlyle
52,46885396,2023-05-01,Anthony Lockwood
53,46885396,2023-05-01,George Cubbins | George Karim
54,46885396,2023-05-01,Quill Kipps
55,46885396,2023-05-01,Montagu Barnes
56,44844073,2023-02-07,Penelope Fittes
57,44844073,2023-02-07,Golden Blade
58,45893086,2023-03-20,Lucy Carlyle
59,45893086,2023-03-20,Anthony Lockwood
60,45893086,2023-03-20,Brief Appearance from an Unnamed Rotwell Agent
61,45598954,2023-03-08,Lucy Carlyle
62,45598954,2023-03-08,Anthony Lockwood
63,45598954,2023-03-08,George Cubbins | George Karim
64,45598954,2023-03-08,Quill Kipps
65,46858498,2023-05-08,Lucy Carlyle
66,46858498,2023-05-08,Anthony Lockwood
67,46858498,2023-05-08,George Cubbins | George Karim
68,46858498,2023-05-08,Quill Kipps
69,47262397,2023-06-11,Jessica Lockwood
70,47262397,2023-06-11,Anthony Lockwood
71,47262397,2023-06-11,George Cubbins | George Karim
72,47262397,2023-06-11,Lucy Carlyle
73,47262397,2023-06-11,Flo Bones
74,47262397,2023-06-11,Holly Munro
75,47262397,2023-06-11,Quill Kipps
76,47262397,2023-06-11,Gravedigger Sykes
77,47200708,2023-05-18,Lucy Carlyle
78,47200708,2023-05-18,Anthony Lockwood
79,47200708,2023-05-18,George Cubbins | George Karim
80,47200708,2023-05-18,Quill Kipps (mentioned)
81,47295070,2023-05-20,Lucy Carlyle
82,47295070,2023-05-20,Anthony Lockwood
83,44854114,2023-02-07,Lucy Carlyle
84,44854114,2023-02-07,Anthony Lockwood
85,45052015,2023-02-14,Anthony Lockwood
86,45052015,2023-02-14,Lucy Carlyle
87,47173234,2023-05-14,George Cubbins | George Karim
88,47173234,2023-05-14,Flo Bones
89,47173234,2023-05-14,Lucy Carlyle
90,47173234,2023-05-14,Anthony Lockwood
91,47173234,2023-05-14,Quill Kipps
92,47173234,2023-05-14,Holly Munro
93,47173234,2023-05-14,Holly Munro's Girlfriend
94,46271533,2023-04-05,Lucy Carlyle
95,46271533,2023-04-05,George Cubbins | George Karim
96,46271533,2023-04-05,Anthony Lockwood
97,47901025,2023-06-20,Lucy Carlyle
98,47901025,2023-06-20,Anthony Lockwood
99,47901025,2023-06-20,George Cubbins | George Karim
100,47901025,2023-06-20,Holly Munro
101,47901025,2023-06-20,Quill Kipps
102,47901025,2023-06-20,Montagu Barnes
103,47901025,2023-06-20,Leopold Winkman
104,47901025,2023-06-20,Penelope Fittes
105,47901025,2023-06-20,Sir Rupert Gale
106,47901025,2023-06-20,Adam Bunchurch
107,47901025,2023-06-20,Steve Rotwell
108,47901025,2023-06-20,Flo Bones
109,47773249,2023-06-10,Anthony Lockwood
110,47773249,2023-06-10,George Cubbins | George Karim
111,46651936,2023-04-21,Lucy Carlyle
112,46651936,2023-04-21,Anthony Lockwood
113,46651936,2023-04-21,George Cubbins | George Karim
114,45413584,2023-03-01,Lucy Carlyle
115,45413584,2023-03-01,George Cubbins | George Karim
116,45413584,2023-03-01,Anthony Lockwood
117,47802628,2023-06-11,George Cubbins | George Karim
118,47802628,2023-06-11,Lucy Carlyle
119,47802628,2023-06-11,Anthony Lockwood
120,45007039,2023-02-13,Anthony Lockwood
121,45007039,2023-02-13,Reader
122,47248693,2023-06-18,Lucy Carlyle
123,47248693,2023-06-18,Anthony Lockwood
124,47248693,2023-06-18,George Cubbins | George Karim
125,47248693,2023-06-18,Holly Munro
