,author_id,fandom,num_fic
0,2889062,Artemis Fowl - Eoin Colfer,7
1,2889062,Alex Rider - Anthony Horowitz,5
2,2889062,Batman - All Media Types,5
3,2889062,Doctor Who,5
4,2889062,Doctor Who,5
5,2889062,Dishonored,4
6,2889062,Detroit: Become Human,4
7,2889062,Supernatural,3
8,2889062,Gotham,2
9,2889062,Batman,2
10,2889062,Buzzfeed Unsolved,2
11,2889062,Thief,2
12,2889062,Imposters,2
13,2889062,James Bond,1
14,2889062,The X-Files,1
15,2889062,Batman Beyond,1
16,2889062,King Falls AM,1
17,2889062,Lockwood & Co. - Jonathan Stroud,1
18,2889062,The West Wing,1
19,2889062,Sherlock,1
20,2889062,Thief,1
21,2889062,GhostWire: Tokyo,1
22,2889062,Batman: The Animated Series,1
23,2889062,Battle Creek,1
24,11032043,Homestuck,1
25,11032043,Lockwood & Co. - Jonathan Stroud,1
26,13764538,Lockwood & Co. - Jonathan Stroud,1
27,13764538,Lockwood & Co.,1
28,14142288,Video Blogging RPF,4
29,14142288,Lockwood & Co.,1
30,14142288,Lockwood & Co. - Jonathan Stroud,1
31,2889062,Artemis Fowl - Eoin Colfer,7
32,2889062,Alex Rider - Anthony Horowitz,5
33,2889062,Batman - All Media Types,5
34,2889062,Doctor Who,5
35,2889062,Doctor Who,5
36,2889062,Dishonored,4
37,2889062,Detroit: Become Human,4
38,2889062,Supernatural,3
39,2889062,Gotham,2
40,2889062,Batman,2
41,2889062,Buzzfeed Unsolved,2
42,2889062,Thief,2
43,2889062,Imposters,2
44,2889062,James Bond,1
45,2889062,The X-Files,1
46,2889062,Batman Beyond,1
47,2889062,King Falls AM,1
48,2889062,Lockwood & Co. - Jonathan Stroud,1
49,2889062,The West Wing,1
50,2889062,Sherlock,1
51,2889062,Thief,1
52,2889062,GhostWire: Tokyo,1
53,2889062,Batman: The Animated Series,1
54,2889062,Battle Creek,1
55,11032043,Homestuck,1
56,11032043,Lockwood & Co. - Jonathan Stroud,1
57,13764538,Lockwood & Co. - Jonathan Stroud,1
58,13764538,Lockwood & Co.,1
59,2889062,Artemis Fowl - Eoin Colfer,7
60,2889062,Alex Rider - Anthony Horowitz,5
61,2889062,Batman - All Media Types,5
62,2889062,Doctor Who,5
63,2889062,Doctor Who,5
64,2889062,Dishonored,4
65,2889062,Detroit: Become Human,4
66,2889062,Supernatural,3
67,2889062,Gotham,2
68,2889062,Batman,2
69,2889062,Buzzfeed Unsolved,2
70,2889062,Thief,2
71,2889062,Imposters,2
72,2889062,James Bond,1
73,2889062,The X-Files,1
74,2889062,Batman Beyond,1
75,2889062,King Falls AM,1
76,2889062,Lockwood & Co. - Jonathan Stroud,1
77,2889062,The West Wing,1
78,2889062,Sherlock,1
79,2889062,Thief,1
80,2889062,GhostWire: Tokyo,1
81,2889062,Batman: The Animated Series,1
82,2889062,Battle Creek,1
83,11032043,Homestuck,1
84,11032043,Lockwood & Co. - Jonathan Stroud,1
85,13764538,Lockwood & Co. - Jonathan Stroud,1
86,13764538,Lockwood & Co.,1
87,14142288,Video Blogging RPF,4
88,14142288,Lockwood & Co.,1
89,14142288,Lockwood & Co. - Jonathan Stroud,1
90,16848577,Lockwood & Co. - Jonathan Stroud,1
91,16848577,Lockwood & Co.,1
92,12279436,Lockwood & Co. - Jonathan Stroud,2
93,12279436,Lockwood & Co.,1
94,5036057,Lockwood & Co. - Jonathan Stroud,16
95,5036057,Emergency!,5
96,5036057,Harry Potter - J. K. Rowling,4
97,5036057,Pride and Prejudice - Jane Austen,3
98,5036057,Pride and Prejudice,3
99,5036057,Over the Garden Wall,2
100,5036057,Helluva Boss,2
