,fanfic_id,link,title,published,language,summary,warning,author_id
0,44791411,https://archiveofourown.org/works/44791411,Easily done,2023-02-04,English,"""We are containing the source,"" Lockwood told her.Lucy shook her head, going to lift the net off her face.""We don't even know where the source is,"" she returned.""We do. Trust me,"" Lockwood replied.""I ate it,"" George said, sheepishly.",No Archive Warnings Apply,2440594
1,47484628,https://archiveofourown.org/works/47484628,I will trust you,2023-05-28,English,Lucy and Lockwood running errands and enjoying each other's company on a Friday afternoon in London.,No Archive Warnings Apply,15260589
2,45235999,https://archiveofourown.org/works/45235999,she feels like home,2023-02-22,English,"after waking from a nightmare, Lockwood locks himself in the bathroom whilst dealing with a panic attack. Lucy hears him and goes to check on him.----contains mention of Lockwood's sister and what happened to her",No Archive Warnings Apply,8699371
3,45056584,https://archiveofourown.org/works/45056584,Why So Sad?,2023-02-15,English,“We haven’t seen him since the Thomas case.”“I know.”“The Thomas case was three days ago.”“I know.”“He’s barely come out of his room.”“I’m aware of the declining status of his mental health thank you very much.”Lockwood was a man of many secrets and a traumatizing past. He had a knack at being just enough reckless. He often narrowly escaped cases with the skin off his back. Lockwood’s overconfidence had a tendency to come off as invincibility. It was all too easy for them to forget he wasn’t. For her to forget. It would be infuriating if she wasn’t so in love with him.orLocklyle is my comfort ship now so they must suffer together. Thems the rules besties buckle up its a wild ride.Title taken from The Amazing Devil's Little Miss Why So Sad?,No Archive Warnings Apply,3796812
4,47517634,https://archiveofourown.org/works/47517634,It’s a No-Chance Showmance (I Don’t Mix Work With Pleasure),2023-05-29,English,"When Kat, who play Audrey in their school’s productions of Little Shop of Horrors gets sick a day before opening night the assistant stage, Lucy, has to quickly learn her part to save the show.Romance and theater kid shenanigans ensue. Title form never really acting at all by Melina K B",Creator Chose Not To Use Archive Warnings,13583521
5,46912513,https://archiveofourown.org/works/46912513,Sparkle Like Bowie in the Morning Sun,2023-05-03,English,"It all starts when one of the goth ghost cult chicks bites him. Bites him hard enough to draw blood, and for Lucy to tell him that they need to patch it up, lest he get rabies.- - -When Lockwood gets bit on a case, and starts to feel funny, he becomes convinced that he's become a vampire. But will he manage to convince George and Lucy? (Both of whom he is head over heels for.) But most importantly, can he still eat garlic bread?",No Archive Warnings Apply,5107352
6,47159170,https://archiveofourown.org/works/47159170,not enough time (too much time),2023-05-14,English,The flames had started in the kitchen downstairs. He didn’t know how. Probably the stove or something. An accident.  Lucy didn't have enough time. Not enough time to save her family. To save anyone that she really cared about. There was never enough time. There wasn’t enough time to get out of the house. Not enough time to have called for help. Not enough time for the fire brigade to come save him. Not enough time to hug his parents one last time.  Lucy has too much time. And she can't make it stop.,Major Character Death,5197628
7,44970565,https://archiveofourown.org/works/44970565,Don't Blink,2023-02-12,Français,"Deux Anges Pleureurs, un accident en bus, des Fantômes de Type 2 dans la Red Room, une foule de gens et une cachette improbable dans des combles... Pourquoi ça n'arrive toujours qu'à moi ?",Graphic Depictions Of Violence,3655038
8,45264931,https://archiveofourown.org/works/45264931,That's The Living (All Messed Up),2023-02-23,English,"Six times Lockwood checks Lucy’s injuries in a crisis + one time he does it in a celebration After her best friends get killed on her watch, Lucy the vampire slayer flees to London to start a new life at the Watchers' Council Headquarters. She’s learned her lesson—never bring a civilian into the field.Anthony Lockwood has other ideas.(A Buffy AU, but you don’t need to know anything about Buffy)",No Archive Warnings Apply,1316127
9,46930393,https://archiveofourown.org/works/46930393,The Waiting Game,2023-05-03,English,Lockwood waits for the doorbell to ring,Creator Chose Not To Use Archive Warnings,16776901
10,46885396,https://archiveofourown.org/works/46885396,Icarus,2023-05-01,English,"""Lockwood would never keep her waiting like this, knowing she was terrified. He would never be so unkind as to let her think he was truly dead.""",No Archive Warnings Apply,877844
11,44844073,https://archiveofourown.org/works/44844073,harp,2023-02-07,English,Penelope takes Golden Blade's offer and stays back in the Black Library for a little while with him.,Creator Chose Not To Use Archive Warnings,237763
12,45893086,https://archiveofourown.org/works/45893086,just keep your eyes on me,2023-03-20,English,"“What are you doing?” She hissed, pulling her hand out of his.“We’re at a ball. You’re in a fantastic dress, and I even broke out my good tie for the occasion. It would be a shame not to have at least one dance, don’t you think?” Lockwood was looking at her, and the childish eagerness on his face sent a pang through her heart.",No Archive Warnings Apply,3078813
13,45598954,https://archiveofourown.org/works/45598954,Harmony,2023-03-08,English,"5 times Lucy hears Lockwood sing, and 1 time she sings for him.",No Archive Warnings Apply,1765021
14,46858498,https://archiveofourown.org/works/46858498,Saved By the Bell: The Problem Class,2023-04-30,English,"What if the adults finally got their heads out of their asses and realized that the agents probably shouldn't have completely left school as very young kids? What are they supposed to do when they lose their Talent? Well now, people are finally complaining about it so our trio is forced back to high school. Whining, crushes, self-discovery, and dances await. Maybe even some kissing in the end...Canon compliant through Season 1 of the show. Not canon compliant with the books. George is George Karim.",No Archive Warnings Apply,6262448
15,47262397,https://archiveofourown.org/works/47262397,Jessica Lockwood’s Home for Misfit Ghost Hunters,2023-05-18,English,"The night Jessica Lockwood almost died, she made a decision.",No Archive Warnings Apply,1305594
16,47200708,https://archiveofourown.org/works/47200708,The Waffle House Index,2023-05-15,English,"""If you get there and the Waffle House is closed? That's really bad...""or: Lucy, George, and Lockwood face their worst storm yet, and Lucy gets texts from an ex.Prequel to my fic Riders on the Storm!",No Archive Warnings Apply,11406523
17,47295070,https://archiveofourown.org/works/47295070,Every corner of this house is haunted,2023-05-20,English,"“You don’t have to pretend around me, Lockwood. If you don’t want to tell me what’s upsetting you, you don’t have to, but at least let me make you some tea.”She turned to leave, but Lockwood grabbed her hand, gently turning her back around.“Don’t leave.” He looked at her finally and Lucy could still see tears in his eyes. “Please.”Or Lucy finds Lockwood crying and he decides to let her in just a little bit",Creator Chose Not To Use Archive Warnings,16854166
18,44854114,https://archiveofourown.org/works/44854114,"Head Over Heels, Always Heading to the Floor",2023-02-07,English,"If they do this, perhaps nothing will ever be the same again.",No Archive Warnings Apply,1697702
19,45052015,https://archiveofourown.org/works/45052015,[Podfic] Flesh Wounds & Buttered Toast,2023-02-14,English,One thing about Lockwood is that he's not going to let something like a major wound stop him from buttering Lucy's toast. Podfic of Flesh Wounds & Buttered Toast by pearlcaddy.,No Archive Warnings Apply,1039599
20,47173234,https://archiveofourown.org/works/47173234,I've got my eye on you,2023-05-14,English,"""Wait, are you being serious right now?"" Lockwood inquired, almost spitting out his tea, his tone on the verge of offended. A form of shock. ""Are you mad?!""Whomever said he could be an actor wasn't wrong. Because damn he could have. Lucy could swear he was born for the stage.""Yes. I'm very mad for the fact that I've never been on the London Eye. This is a huge emergency that must be fixed right now."" Lucy rolled her eyes. ""Who cares about cleaning up the problem when Lucy Joan Carlyle has never been on the London Eye?"" (SPOILERS, GO AWAY IF YOU HAVEN'T FINISHED THE EMPTY GRAVE AND DON'T WANT SPOILERS)Lockwood takes Lucy to the London Eye a few weeks after the events of The empty grave.",Creator Chose Not To Use Archive Warnings,11448799
21,46271533,https://archiveofourown.org/works/46271533,Tell Me You Love Me,2023-04-05,English,"In the aftermath of a case George is jealous, Lockwood doesn't understand why. Until he does.OrI want the boys to kiss and think George should get to be jealous and angry sometimes.",No Archive Warnings Apply,3796812
22,47901025,https://archiveofourown.org/works/47901025,Queen of Corpses,2023-06-15,English,"The Problem has worsened in a sudden chilling spike and swept over entire global governments with ghost-touch, leaving a power vacuum in its wake. Someone had to step up to fill it.In a dystopian future, Lockwood and Co deal with the fallout of the Calamity and seek to bring down the new self-appointed Queen, Penelope Fittes, in a modern feudalist struggle for control of the United Kingdom and a fight to return to normalcy. But with half the agency taken captive, agents dying in the struggle to keep the dead at bay, and the fate of nations at stake, can they heal and return to what they once had?",Graphic Depictions Of ViolenceRape/Non-Con,17861719
