,fanfic_id,pairing_name
0,47484628,F/M
1,45235999,F/M
2,45056584,F/M
3,45056584,Gen
4,47328118,F/M
5,44907388,F/M
6,46640377,Gen
7,47400718,F/M
8,47400718,M/M
9,47400718,Multi
10,45303043,F/M
11,46368685,F/M
12,46755508,F/M
13,46867039,F/M
14,47746132,F/M
15,47746132,Gen
16,46788061,F/M
17,47830324,F/M
18,47226187,F/F
19,47226187,F/M
20,46266553,F/M
21,47835571,F/M
22,47845816,F/M
23,47834269,Gen
24,45601189,F/M
25,47262397,F/M
26,47262397,Gen
27,47262397,Multi
28,47837278,Other
29,47817208,F/M
30,47817208,Multi
31,47811550,F/M
32,45631399,F/M
33,45631399,Gen
34,47851000,F/M
35,47802628,F/M
36,47802628,Gen
37,45773677,F/M
38,46481659,F/M
39,47821801,F/M
40,47577928,F/M
41,46898590,F/M
42,47156923,F/M
43,47156923,Gen
44,47156923,M/M
45,47047300,F/M
46,47150023,F/M
47,47199304,Gen
48,46864237,F/M
49,46864237,M/M
50,46864237,Multi
51,47271217,F/F
52,45776386,F/F
53,45776386,F/M
54,45776386,Multi
55,47080912,F/M
56,47034073,F/M
57,47570875,F/M
58,46998766,F/M
59,47560099,Multi
60,46969591,F/M
61,47569873,Gen
62,46796395,F/F
63,46796395,F/M
64,46796395,Other
65,46023349,F/M
66,46687885,F/M
67,47021806,F/M
68,47037772,F/M
69,44961781,F/M
70,47119729,F/M
71,47085679,Multi
72,47292367,F/F
73,45319210,F/M
74,46973182,F/M
75,47124388,F/M
76,46853329,F/M
77,45452680,F/M
78,47519422,F/M
79,47519422,M/M
80,47519422,Multi
81,47679136,Multi
82,47390227,Multi
83,46955077,F/M
84,45356128,F/M
85,47575342,Gen
86,47490490,F/M
87,47490490,Gen
88,47289190,F/M
89,47246881,F/M
90,47175877,F/M
91,47175877,Gen
92,46773547,F/M
93,47764168,F/M
94,46381468,F/M
95,47494396,F/M
96,47463505,F/M
97,47439058,F/M
98,47439058,Gen
99,47882233,Gen
100,46130890,F/M
101,46130890,Gen
102,47387896,F/M
103,44688367,F/M
104,46218217,F/M
105,46218217,F/F
106,47580799,F/M
107,44791187,F/M
108,47417956,Multi
109,45856504,M/M
110,47334856,Multi
111,47878120,F/M
112,47878120,Multi
113,47536093,F/M
114,47361427,F/M
115,47804239,F/M
116,47772334,F/M
117,46568050,F/M
118,47357743,F/M
119,47288461,F/M
120,47524435,Multi
121,47298775,F/M
122,47711464,F/M
123,47270335,F/M
124,47860891,F/M
125,47476684,F/M
126,47342179,F/M
127,47601052,F/M
128,47284264,F/M
129,47284264,Gen
130,47910517,F/M
131,47910517,Gen
132,45743218,F/F
133,45743218,F/M
134,45743218,Gen
135,47676889,F/M
