,fanfic_id,update_date,relationship
0,47484628,2023-05-28,Lucy Carlyle/Anthony Lockwood
1,47484628,2023-05-28,Lucy Carlyle & Anthony Lockwood
2,45235999,2023-02-22,Lucy Carlyle/Anthony Lockwood
3,45056584,2023-02-15,Lucy Carlyle/Anthony Lockwood
4,45056584,2023-02-15,Lucy Carlyle & George Cubbins | George Karim & Anthony Lockwood
5,45056584,2023-02-15,Lucy Carlyle & George Cubbins | George Karim
6,47517634,2023-06-19,Lucy Carlyle/Anthony Lockwood
7,47517634,2023-06-19,Holly Munro/Holly Munro's Girlfriend
8,47517634,2023-06-19,Lucy Carlyle & George Cubbins | George Karim & Quill Kipps & Anthony Lockwood
9,47517634,2023-06-19,& Holly
10,47517634,2023-06-19,&the skull
11,47517634,2023-06-19,Kat Godwin & Quill Kipps & Ned Shaw & Bobby Vernon
12,46912513,2023-05-03,Lucy Carlyle/George Cubbins | George Karim/Anthony Lockwood
13,46912513,2023-05-03,Lucy Carlyle/Anthony Lockwood
14,46912513,2023-05-03,George Cubbins | George Karim/Anthony Lockwood
15,46912513,2023-05-03,Lucy Carlyle/George Cubbins | George Karim
16,47159170,2023-06-06,Lucy Carlyle/Anthony Lockwood
17,47159170,2023-06-06,Anthony Lockwood & Lucy Carlyle & George Cubbins
18,47159170,2023-06-06,Lucy Carlyle & Holly Munro
19,47159170,2023-06-06,Anthony Lockwood & Lucy Carlyle & George Cubbins & Holly Munro & Quill Kipps
20,44970565,2023-02-12,Kaz Brekker/Original Female Character(s)
21,45264931,2023-03-18,Lucy Carlyle/Anthony Lockwood
22,46930393,2023-05-03,Lucy Carlyle/Anthony Lockwood
23,46930393,2023-05-03,Lucy Carlyle & George Cubbins | George Karim & Anthony Lockwood
24,46885396,2023-05-01,Lucy Carlyle/Anthony Lockwood
25,46885396,2023-05-01,Lucy Carlyle & Anthony Lockwood
26,44844073,2023-02-07,Penelope Fittes/Golden Blade
27,45893086,2023-03-20,Lucy Carlyle/Anthony Lockwood
28,45598954,2023-03-08,Lucy Carlyle/Anthony Lockwood
29,46858498,2023-05-08,Lucy Carlyle/Anthony Lockwood
30,46858498,2023-05-08,Lucy Carlyle & Anthony Lockwood
31,47262397,2023-06-11,Anthony Lockwood & Jessica Lockwood
32,47262397,2023-06-11,Lucy Carlyle & Jessica Lockwood
33,47262397,2023-06-11,Jessica Lockwood & George Cubbins
34,47262397,2023-06-11,Jessica Lockwood & Flo Bones
35,47262397,2023-06-11,Jessica Lockwood & Quill Kipps
36,47262397,2023-06-11,Jessica Lockwood & Holly Munro
37,47262397,2023-06-11,Lucy Carlyle/Anthony Lockwood
38,47262397,2023-06-11,Quill Kipps/Jessica Lockwood
39,47200708,2023-05-18,Lucy Carlyle & Anthony Lockwood
40,47200708,2023-05-18,Lucy Carlyle & George Cubbins | George Karim & Quill Kipps & Anthony Lockwood
41,47200708,2023-05-18,Lucy Carlyle & George Cubbins | George Karim
42,47200708,2023-05-18,past Lucy Carlyle/Quill Kipps
43,47200708,2023-05-18,George Cubbins | George Karim & Anthony Lockwood
44,47295070,2023-05-20,Lucy Carlyle/Anthony Lockwood
45,44854114,2023-02-07,Lucy Carlyle/Anthony Lockwood
46,44854114,2023-02-07,Lucy Carlyle & Anthony Lockwood
47,45052015,2023-02-14,Lucy Carlyle/Anthony Lockwood
48,47173234,2023-05-14,Lucy Carlyle/Anthony Lockwood
49,47173234,2023-05-14,Lucy Carlyle & Anthony Lockwood
50,47173234,2023-05-14,Flo Bones & George Cubbins | George Karim
51,47173234,2023-05-14,Holly Munro/Holly Munro's Girlfriend
52,47173234,2023-05-14,Lucy Carlyle & George Cubbins | George Karim & Quill Kipps & Anthony Lockwood
53,47173234,2023-05-14,Lucy Carlyle & George Cubbins | George Karim & Quill Kipps & Anthony Lockwood & Holly Munro
54,47173234,2023-05-14,Lucy Carlyle & George Cubbins | George Karim
55,47173234,2023-05-14,Lucy Carlyle & George Cubbins | George Karim & Anthony Lockwood
56,46271533,2023-04-05,Lucy Carlyle/George Cubbins | George Karim/Anthony Lockwood
57,47901025,2023-06-20,Lucy Carlyle/Anthony Lockwood
