,fanfic_id,series_name
0,45056584,Lockwood & His Collection Of Idiots
1,44970565,Cauchemars en série
2,46885396,Locklyle my beloved
3,47200708,Riders on the Storm
4,46271533,Lockwood & His Collection Of Idiots
5,47248693,Here Amidst the Chaos
6,46018486,One shots- Lockwood & Co
7,47279317,in each and every universe
8,46990882,Locklyle my beloved
9,46848232,Fiona's Locklyle Week 2023
10,47502760,Out like a light
11,47085442,maysturbation
12,46754485,Escapril 2023 Fanfic Style
13,46880197,We Made It Home
14,47204788,Our home in Portland Row 35
15,46929643,Out like a light.
16,44854264,Cauchemars en série
17,47591803,Lockwood & Co works
18,47124388,Beach Vacation
19,46392874,Lockwood & His Collection Of Idiots
20,47703772,The Locklyle College Expereince
21,47386591,can’t leave the night / shared nightmares
22,47028382,If I could see your face
23,47694841,Lockwood/Lucy/Norrie
24,46826059,Adventures in Babysitting
25,47764615,Out like a light
26,45623809,Lockwood & His Collection Of Idiots
27,47764168,summer skullstice
28,47309245,Shelter from the Storm
29,45901222,locklyle week 2023
30,47269384,Locklyle Smut
31,46250821,Unlikely Love Series
32,46856713,English Rain
33,45175819,Lockwood & His Collection Of Idiots
34,47679136,Waltz in Four
35,46909645,Lockwood & Co Oneshots
36,47198647,The Weight of Us
37,47284264,London Calling
38,47580799,dear baby (a series of locklyle kidfics)
39,45531718,when we find ourselves in wreckage
40,47682055,l&co oneshots
41,47535871,Out like a light
42,47193106,London Calling
43,46231093,honey honey honey (poly cot3)
44,47337142,in each and every universe
45,46675375,locklyle week 2023
46,47627482,Lockwood/Lucy/Norrie
47,46946884,The Ghostly Bird
48,47328748,"Hope, Trust & Love | Musings of Lockwod & Co"
49,47522161,Chaos Discord's Birthday Fics
50,46936312,My Lockwood and Co fics
51,45581908,Lockwood & His Collection Of Idiots
52,46280392,Lockwood AU
53,47212141,Lockwood & Co works
54,45908176,Locklyle Week 2023
55,47589151,Shelter from the Storm
56,47047300,Lockwood & His Collection Of Idiots
57,47677576,Mouse's Purple Pandas fics
58,44868559,take another little piece of my heart
59,45547210,My Lockwood and Co fics
60,45233452,honey honey honey (poly cot3)
61,46789120,turning saints into the sea
62,45883171,Locklyle Week 2023
63,46864237,Lockwood & Co works
64,47695759,Joe & Co. - The Case of the Curious Cabbies
65,46018228,L&C NSFW
66,44961781,Lockwood and Co: Hogwarts
67,47390227,Waltz in Four
68,47359027,take pride in what is sure to die
69,47348575,The Weight of Us
70,45526615,honey honey honey (poly cot3)
71,46963186,Favorite Tune
72,46903384,Lockwood & His Collection Of Idiots
73,47073643,"Yes, Sir"
74,46911409,We Made It Home
75,47778148,Our home in Portland Row 35
76,47025892,stepped into a cruel world
77,47259820,Lockwood is worried
78,46160227,Unlikely Love Series
79,47512669,Odd Situations make for good friends
80,45931096,Locklyle Week 2023
81,45329881,honey honey honey (poly cot3)
82,47145994,The Weight of Us
83,47153557,London Calling
84,46438840,My Lockwood and Co fics
85,47885800,Prince Charming
86,47725465,"I'm a mess, but I'm the mess that you wanted"
87,47834269,London Calling
88,45852598,Lockwood & Co works
89,47886844,Sweet Somethings
90,46901140,Riders on the Storm
91,47687353,It Was Always You
92,47666440,Odd Situations make for good friends
93,47709244,"pluck a heartstring, duck for cover"
94,47372872,The Weight of Us
95,47560099,L&Co Bodega
96,46948681,maysturbation
97,47703181,Joe & Co. - The Case of the Curious Cabbies
98,47704477,Mouse's Purple Pandas fics
99,46816501,Escapril 2023 Fanfic Style
100,46584922,Lockwood & His Collection Of Idiots
101,45952858,Locklyle Week 2023
102,44902558,Lockwood & His Collection Of Idiots
103,45974899,Locklyle Week 2023
104,47577928,summer skullstice
105,47238895,you are the best thing that's ever been mine
106,46997644,If The Books Could Talk
107,46025245,One shots- Lockwood & Co
108,47784598,Lockwood & Co: Show Continuation (The Jack & Roz edition)
109,46931593,Only One Bed
110,47356699,in each and every universe
111,47596612,Lockwood/Lucy/Norrie
112,47659378,can’t leave the night / shared nightmares
113,46523497,Lockwood & His Collection Of Idiots
114,47365585,It Was Always You
115,47429638,Foxxy's Dom!George Universe
116,45903418,Waltz in Four
117,47052190,If The Books Could Talk
118,45692785,Lockwood & His Collection Of Idiots
119,45996544,Locklyle Week 2023
120,47463505,The Bones and the Blood
121,47622721,"I'm a mess, but I'm the mess that you wanted"
122,47601052,The Wicked North Wind
123,47111422,What Happened Next
124,47008549,Dabbling In Drabbles (Multifandom)
125,47529664,Odd Situations make for good friends
126,46023349,Locklyle Week 2023
127,45906103,locklyle week 2023
128,46961713,How Much I Want This (3rd Person POV)
129,47530894,Lockwood/Lucy/Norrie
130,47444356,summer skullstice
131,47085679,Waltz in Four
132,47305393,London Calling
133,47020771,Devil Lockwood
134,47421412,The Weight of Us
135,46837375,Adventures in Babysitting
136,47395024,Locklyle First Meetings
137,47655850,The Weight of Us
138,46931290,What Happened Next
139,47280757,London Calling
140,47556925,The Ghostly Bird
141,46442104,Lockwood & His Collection Of Idiots
142,47037772,Lockwood & His Collection Of Idiots
143,47381956,"Yes, Sir"
144,46789153,Prince Charming
145,47835571,Joe & Co. - The Case of the Curious Cabbies
146,46760389,Locklyle Through The Years
147,47871481,Shelter from the Storm
148,46892845,Not Dead Yet
149,47450914,Locklyle my beloved
150,47217127,London Calling
151,46686385,Lockwood & Co works
152,46647835,London Calling
153,46724329,Literal Dad!Barnes out here doing his best
154,46612807,Naked chicken
155,46649257,Lockwood & His Collection Of Idiots
156,46626169,The Locklyle College Expereince
157,46633966,Naked chicken
158,46626352,London Calling
159,46749688,Locklyle Smut
160,46729345,"pluck a heartstring, duck for cover"
161,46705159,Naked chicken
162,46662667,Prince Charming
163,46637182,Locklyle Week 2023
164,46616701,stepped into a cruel world
165,46754482,Marquess Lockwood
166,46642321,Angstpril 2023
167,46606960,The Weight of Us
168,46531756,London Calling
169,46592665,Farfallama’s Locklyle Week 2023
170,46562428,London Calling
171,46585030,London Calling
172,46544200,"part time soulmate, full time problem"
173,46560958,Locklyle 5+1
174,46465093,Farfallama’s Locklyle Week 2023
175,46563514,Locklyle Smut
176,46587247,"""Lockwood... You're my best friend in the world."" ""Yeah... And Lucy... Luce, you're more than that."""
177,46474255,A Certain Slant of Light
178,46609009,Riders on the Storm
179,46481659,Favorite Tune
180,46510540,London Calling
181,46473562,this isn't a ghost story (it's a love story)
182,46520635,What Happened Next
183,46295881,Lockwood & Co
184,46424269,through the clouds the sun will shine to guide you home to the light
185,46422805,The Winding Stair - Marissa/Tom Short Fics
186,46422130,The Winding Stair - Marissa/Tom Short Fics
187,46403062,through the clouds the sun will shine to guide you home to the light
188,46366897,Lockwood & Co works
189,46370536,Fiona's Locklyle Week 2023
190,46360966,London Calling
191,46358098,TFATF Universe
