,fanfic_id,update_date,tag
0,44791411,2023-02-04,Comedy
1,44791411,2023-02-04,Surgery
2,44791411,2023-02-04,Ghosts
3,47484628,2023-05-28,Locklyle
4,47484628,2023-05-28,First Kiss
5,47484628,2023-05-28,Shopping
6,45235999,2023-02-22,Anthony Lockwood Needs a Hug
7,45235999,2023-02-22,POV Anthony Lockwood
8,45235999,2023-02-22,35 Portland Row | Lockwood & Co. Headquarters
9,45235999,2023-02-22,Anthony Lockwood has panic attacks
10,45235999,2023-02-22,anthony lockwood trauma
11,45235999,2023-02-22,Panic Attacks
12,45235999,2023-02-22,lucy carlyle helps lockwood
13,45235999,2023-02-22,mention of lockwood's sister
14,45056584,2023-02-15,Hurt/Comfort
15,45056584,2023-02-15,Angst
16,45056584,2023-02-15,References to Depression
17,45056584,2023-02-15,Implied Relationships
18,45056584,2023-02-15,Anthony Lockwood Needs a Hug
19,45056584,2023-02-15,Hurt Anthony Lockwood
20,45056584,2023-02-15,Spoilers for Lockwood and Co Season 1
21,45056584,2023-02-15,Tired Lucy Carlyle
22,45056584,2023-02-15,Lucy Carlyle And Anthony Lockwood Are In Love
23,45056584,2023-02-15,George Karim Is Wife Material
24,45056584,2023-02-15,Mental Health Issues
25,45056584,2023-02-15,Anthony Lockwood Needs Therapy
26,45056584,2023-02-15,He Gets Lucy Carlyle Instead
27,45056584,2023-02-15,I Made Myself Cry
28,45056584,2023-02-15,Author Is Sleep Deprived
29,45056584,2023-02-15,Not A Fix-It
30,45056584,2023-02-15,Except Kind It Kind Of Is???
31,45056584,2023-02-15,The Biscut Rule
32,45056584,2023-02-15,The Author Regrets Nothing
33,45056584,2023-02-15,Mentions of Blood
34,45056584,2023-02-15,Anthony Lockwood Has Trauma
35,45056584,2023-02-15,Mild Blood
36,45056584,2023-02-15,implied bipolar disorder
37,45056584,2023-02-15,Lucy Carlyle Also Needs Therapy
38,45056584,2023-02-15,She Does Not Get It
39,45056584,2023-02-15,Its Ok Though They Have Each Other
40,45056584,2023-02-15,OTP Feels
41,47517634,2023-06-19,They’re all friends ok
42,47517634,2023-06-19,Theater AU
43,47517634,2023-06-19,Alternate Universe - High School
44,47517634,2023-06-19,stage manager!lucy
45,47517634,2023-06-19,actor!almost everyone else
46,47517634,2023-06-19,music major!quill kipps
47,47517634,2023-06-19,Little Shop of Horrors References
48,47517634,2023-06-19,that’s their show
49,47517634,2023-06-19,lucy and lockwood are in love and everyone else knows it
50,47517634,2023-06-19,not them tho
51,47517634,2023-06-19,more tags to come
52,47517634,2023-06-19,As mulyle as this may seem they’re just girls in theater sorry
53,47517634,2023-06-19,the farthest thing from beta read
54,47517634,2023-06-19,beta reading is over here
55,47517634,2023-06-19,blocking
56,47517634,2023-06-19,sexual tension but not
57,47517634,2023-06-19,more munlyle flirting
58,47517634,2023-06-19,and over her is what ever this is
59,46912513,2023-05-03,Typical Lockwood Angst
60,46912513,2023-05-03,cot3
61,46912513,2023-05-03,Sickfic
62,46912513,2023-05-03,But not in the way you're thinking
63,46912513,2023-05-03,Hurt/Comfort
64,46912513,2023-05-03,The Scientific Method
65,46912513,2023-05-03,Lucy is the only one with common sense
66,46912513,2023-05-03,Sharing a Bed
67,46912513,2023-05-03,First Kiss
68,46912513,2023-05-03,Chaos
69,47159170,2023-06-06,Montague Barnes - mentioned
70,47159170,2023-06-06,Time Loop
71,47159170,2023-06-06,Hurt/Comfort
72,47159170,2023-06-06,Emotional Hurt/Comfort
73,47159170,2023-06-06,Angst
74,47159170,2023-06-06,Suicidal Thoughts
75,47159170,2023-06-06,Eventual Happy Ending
76,47159170,2023-06-06,Whump
77,47159170,2023-06-06,POV Lucy Carlyle
78,47159170,2023-06-06,Lucy Carlyle needs a hug
79,47159170,2023-06-06,Post-Book 05: The Empty Grave (Lockwood & Co.)
80,47159170,2023-06-06,slight spoilers for The Empty Grave and The Creeping Shadow
81,47159170,2023-06-06,Lucy Carlyle Centric
82,47159170,2023-06-06,Protective Quill Kipps
83,47159170,2023-06-06,No Skull
84,47159170,2023-06-06,Found Family
85,47159170,2023-06-06,canon-typical relationships
86,47159170,2023-06-06,Temporary Character Death
87,47159170,2023-06-06,Dissociation
88,47159170,2023-06-06,Grief/Mourning
89,47159170,2023-06-06,Chekhov's Gun
90,47159170,2023-06-06,except it's more like Chekhov's Firing Squad and the author barely knows how firearms work
91,47159170,2023-06-06,tags will update as I think of more
92,44970565,2023-02-12,Post-Traumatic Stress Disorder - PTSD
93,44970565,2023-02-12,Nightmares
94,44970565,2023-02-12,Nightmare Fuel
95,44970565,2023-02-12,Weeping Angels - Freeform
96,44970565,2023-02-12,Kaz Brekker Needs a Hug
97,44970565,2023-02-12,Hurt Kaz Brekker
98,44970565,2023-02-12,Protective Kaz Brekker
99,44970565,2023-02-12,Falling In Love
100,44970565,2023-02-12,Idiots in Love
101,44970565,2023-02-12,Magic
102,44970565,2023-02-12,Magical Realism
103,44970565,2023-02-12,Escape
104,44970565,2023-02-12,Bus
105,44970565,2023-02-12,Haunted Houses
106,44970565,2023-02-12,Book 1: The Screaming Staircase
107,44970565,2023-02-12,The Red Room
108,44970565,2023-02-12,Ghosts
109,44970565,2023-02-12,Blood and Injury
110,44970565,2023-02-12,Tenth Doctor Era
111,44970565,2023-02-12,Mentioned Tenth Doctor
112,44970565,2023-02-12,Music
113,45264931,2023-03-18,Alternate Universe - Buffy The Vampire Slayer Fusion
114,45264931,2023-03-18,Banter
115,45264931,2023-03-18,Strangers to Friends to Lovers
116,45264931,2023-03-18,Pining
117,45264931,2023-03-18,Angst with a Happy Ending
118,45264931,2023-03-18,Suggestive Themes
119,45264931,2023-03-18,6+1
120,45264931,2023-03-18,Slayer!Lucy
121,45264931,2023-03-18,Civilian!Lockwood
122,45264931,2023-03-18,Minor Injuries
123,46930393,2023-05-03,Angst
124,46930393,2023-05-03,Hurt/Comfort
125,46885396,2023-05-01,Hurt/Comfort
126,46885396,2023-05-01,Angst
127,46885396,2023-05-01,Fluff and Angst
128,46885396,2023-05-01,Fluff
129,46885396,2023-05-01,Emotional Hurt/Comfort
130,46885396,2023-05-01,Pre-Relationship
131,46885396,2023-05-01,they're so in love and they don't even know it
132,46885396,2023-05-01,Lucy Carlyle needs a hug
133,46885396,2023-05-01,Mutual Pining
134,46885396,2023-05-01,Found Family
135,44844073,2023-02-07,Plot What Plot/Porn Without Plot
136,44844073,2023-02-07,D/s overtones
137,44844073,2023-02-07,Oral Sex
138,44844073,2023-02-07,Light Humiliation
139,45893086,2023-03-20,fluff with mild angst
140,45893086,2023-03-20,Dancing
141,45893086,2023-03-20,Kissing
142,45893086,2023-03-20,Locklyle Week 2023
143,45893086,2023-03-20,Canon Divergence: Lucy isn't as oblivious as a door knob
144,45893086,2023-03-20,Day 1: Firsts
145,45598954,2023-03-08,5 + 1 Things
146,45598954,2023-03-08,Fluff and Angst
147,45598954,2023-03-08,Canon-Typical Violence
148,45598954,2023-03-08,Singing
149,45598954,2023-03-08,Getting Together
150,45598954,2023-03-08,First Kiss
151,45598954,2023-03-08,I’m American so sorry
152,45598954,2023-03-08,Requited Unrequited Love
153,45598954,2023-03-08,Lucy has it bad
154,45598954,2023-03-08,Singing is sexy guys
155,46858498,2023-05-08,Fluff
156,46858498,2023-05-08,First Kiss
157,46858498,2023-05-08,School
158,46858498,2023-05-08,Fun
159,46858498,2023-05-08,NO DEATH
160,46858498,2023-05-08,Just for Laughs
161,46858498,2023-05-08,School Dance
162,46858498,2023-05-08,all night lock-in
163,46858498,2023-05-08,teenage angst
164,47262397,2023-06-11,Alternate Universe
165,47262397,2023-06-11,Alternate Universe - Canon Divergence
166,47262397,2023-06-11,Alternate Universe - Jessica Lives
167,47262397,2023-06-11,Book Spoilers
