,fanfic_id,kudos,bookmarks,comments,hits,date_scraped
0,44791411,171,15,25,693,2023-08-24
1,47484628,88,1,5,788,2023-08-24
2,45235999,104,14,4,"1,994",2023-08-24
3,45056584,272,24,10,"2,452",2023-08-24
4,47517634,27,2,5,422,2023-08-24
5,46912513,88,11,13,611,2023-08-24
6,47159170,29,3,8,448,2023-08-24
7,44970565,,,6,62,2023-08-24
8,45264931,190,31,60,"2,358",2023-08-24
9,46930393,59,1,,649,2023-08-24
10,46885396,227,25,41,"1,621",2023-08-24
11,44844073,11,1,6,201,2023-08-24
12,45893086,249,16,24,"1,412",2023-08-24
13,45598954,221,29,24,"1,296",2023-08-24
14,46858498,55,4,24,693,2023-08-24
15,47262397,265,30,359,"4,195",2023-08-24
16,47200708,26,1,26,285,2023-08-24
17,47295070,144,8,9,912,2023-08-24
18,44854114,252,29,19,"2,562",2023-08-24
19,45052015,6,,,630,2023-08-24
20,47173234,43,1,,583,2023-08-24
21,46271533,93,9,9,809,2023-08-24
22,47901025,41,3,52,354,2023-08-24
23,47773249,74,4,11,337,2023-08-24
24,46651936,425,65,63,"2,738",2023-08-24
25,45413584,213,20,13,984,2023-08-24
26,47802628,169,17,10,960,2023-08-24
27,45007039,137,9,,"1,240",2023-08-24
28,47248693,251,46,267,"3,750",2023-08-24
29,45319210,,,,,2023-08-24
30,47502532,83,7,11,707,2023-08-24
31,46018486,6,1,,96,2023-08-24
32,47279317,120,7,41,"1,045",2023-08-24
33,47895955,53,1,4,534,2023-08-24
34,47703448,44,3,4,628,2023-08-24
35,47751742,122,16,154,"2,367",2023-08-24
36,46420756,235,29,47,"1,377",2023-08-24
37,45607693,43,8,8,217,2023-08-24
38,45554884,500,61,32,"3,107",2023-08-24
39,46687885,178,18,31,"3,539",2023-08-24
40,47015452,74,2,11,874,2023-08-24
41,44790955,452,51,15,"4,651",2023-08-24
42,46977559,146,10,17,"1,604",2023-08-24
43,45909337,186,38,37,974,2023-08-24
44,46798210,206,14,23,"1,133",2023-08-24
45,45153214,35,4,,517,2023-08-24
46,47727196,22,,,438,2023-08-24
47,45776386,5,4,,235,2023-08-24
48,45263785,114,18,12,600,2023-08-24
49,45474079,99,4,5,645,2023-08-24
50,45169213,167,12,5,"1,335",2023-08-24
51,45477301,12,1,2,257,2023-08-24
52,47288461,90,5,6,688,2023-08-24
53,47143930,20,1,16,134,2023-08-24
54,47080912,202,18,56,903,2023-08-24
55,47255149,15,2,6,79,2023-08-24
56,46990882,411,44,141,"4,681",2023-08-24
57,47685940,61,4,2,856,2023-08-24
58,46949680,113,8,10,888,2023-08-24
59,46848232,60,5,26,571,2023-08-24
60,45606877,103,3,4,737,2023-08-24
61,45547321,119,18,22,"1,169",2023-08-24
62,47175877,354,36,712,"6,052",2023-08-24
63,47502760,12,,3,135,2023-08-24
64,46854655,89,2,13,559,2023-08-24
65,47085442,44,4,13,"1,061",2023-08-24
66,45238186,158,9,1,"1,667",2023-08-24
