link,title,author,published,updatedate,chapters,language,words,kudos,comments,bookmarks,hits,warning,mainship,relationship,characters,tags,summary,rating,series,chapter,chapter_max,completion,currentdate,datediff_pub,datediff,classification,lastauthorupdate,firstauthorupdate,author_lastupdate_diff,daysactive,daysincefirtupload,author_activity,num_relationship,num_characters,num_tags
https://archiveofourown.org/works/47116633,Of Curses and Temptations,MarsStarPower,2023-05-12,2023-05-12,1/?,English,"1,284",32,12,2,202,No Archive Warnings Apply,None,,"Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Montagu Barnes, Flo Bones, Quill Kipps, The Skull (Lockwood & Co.)","Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Montagu Barnes, Flo Bones, Quill Kipps, The Skull (Lockwood & Co.)","Lucy and Lockwood wake up one morning and discover they’ve switched bodies. Now they have to tackle the difficult things: figuring out how it happened, figuring out how to fix it, and figuring out how the hell to survive in the body of their crush.",Mature,not a series,1,?,incomplete,2023-05-12,0.0,0.0,multichapter(updating),2023-05-12,2023-02-26,0.0,75.0,75.0,active,0,7,7
https://archiveofourown.org/works/46469533,"Because everything is the same until, very suddenly, it isn’t",netflixcapricorn,2023-04-13,2023-05-12,9/?,English,"15,546",215,99,18,"3,653",No Archive Warnings Apply,Lucy Carlyle/Anthony Lockwood,"Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Montagu Barnes, Flo Bones, Quill Kipps, The Skull (Lockwood & Co.)","Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Holly Munro, Quill Kipps, Montagu Barnes","Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Holly Munro, Quill Kipps, Montagu Barnes",What happens when the only way out of this mess is a fake marriage?,Not Rated,not a series,9,?,incomplete,2023-05-12,29.0,0.0,multichapter(updating),2023-05-12,2023-02-15,0.0,86.0,86.0,active,7,6,6
https://archiveofourown.org/works/46232947,putting out fire with gasoline,whereitwillgo,2023-04-04,2023-05-12,3/6,English,"12,725",145,60,33,"1,359",No Archive Warnings Apply,Lucy Carlyle/Anthony Lockwood,"Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Holly Munro, Quill Kipps, Montagu Barnes","Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Holly Munro, Not Enough Kipps","Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Holly Munro, Not Enough Kipps","Post THBAfter Lucy's departure from the agency, Lockwood's sanity is hanging by a thread. He tries very hard to stay away, but he can't resist the urge to see Lucy again.",Explicit,not a series,3,6,incomplete,2023-05-12,38.0,0.0,multichapter(updating),2023-05-12,2023-04-04,0.0,38.0,38.0,active,6,5,5
https://archiveofourown.org/works/47115961,Domino Effect,cherriepixie27,2023-05-12,2023-05-12,1/1,English,"2,923",31,8,2,204,No Archive Warnings Apply,Lucy Carlyle/Anthony Lockwood,"Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Holly Munro, Not Enough Kipps","Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim","Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim","After a case, the agents of Lockwood & Co. each release some steam. The walls at Portland Row, however, prove to be pretty damn thin.",Explicit,not a series,1,1,completed,2023-05-12,0.0,0.0,oneshot,2023-05-12,2023-02-25,0.0,76.0,76.0,active,5,3,3
https://archiveofourown.org/works/47115808,You Cannot Talk To Them,annalise_xoxo,2023-05-12,2023-05-12,1/1,English,"1,838",19,3,1,166,No Archive Warnings Apply,Lucy Carlyle/Anthony Lockwood,"Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim","Lucy Carlyle, George Cubbins | George Karim, Anthony Lockwood","Lucy Carlyle, George Cubbins | George Karim, Anthony Lockwood","Takes place in Season 1, Episode 4 ""Sweet Dreams"" if Lucy and Lockwood were both too angry for the Doctor Lockwood scene. Instead, Lucy takes care of herself, wink wink. Fic in celebration of Maysturbation month.",Explicit,not a series,1,1,completed,2023-05-12,0.0,0.0,oneshot,2023-05-12,2023-04-19,0.0,23.0,23.0,active,3,3,3
https://archiveofourown.org/works/46788061,bring on the monsters,official_djungelskog,2023-04-27,2023-05-11,4/10,English,"11,392",28,28,5,448,No Archive Warnings Apply,Lucy Carlyle/Anthony Lockwood,"Lucy Carlyle, George Cubbins | George Karim, Anthony Lockwood","Lucy Carlyle, Lucy Carlyle's Mother, Anthony Lockwood, George Cubbins | George Karim, Percy Jackson, Annabeth Chase (Percy Jackson), Chiron, Montagu Barnes","Lucy Carlyle, Lucy Carlyle's Mother, Anthony Lockwood, George Cubbins | George Karim, Percy Jackson, Annabeth Chase (Percy Jackson), Chiron, Montagu Barnes","My name is Lucy Joan Carlyle. I’m 16 years old, and up until a couple months ago, I was living a rather mundane life in Minneapolis, Minnesota. I’m about 5’6, a bit on the stockier side, and thanks to my godly parentage, am prone to bouts of anger.Or: Lockwood & Co except they're demigods in New York and PJO except I ignore pretty much all of the canon because how else am I supposed to explain away Anthony Lockwood being a son of Hades?",Teen And Up Audiences,not a series,4,10,incomplete,2023-05-12,15.0,1.0,multichapter(updating),2023-05-11,2023-04-07,1.0,34.0,35.0,active,3,8,8
https://archiveofourown.org/works/47111563,Party's Over!,ParadiseAvenger,2023-05-11,2023-05-11,1/1,English,"9,577",60,5,5,473,No Archive Warnings Apply,Lucy Carlyle/Anthony Lockwood,"Lucy Carlyle, Lucy Carlyle's Mother, Anthony Lockwood, George Cubbins | George Karim, Percy Jackson, Annabeth Chase (Percy Jackson), Chiron, Montagu Barnes",George Cubbins | George Karim,George Cubbins | George Karim,An old acquaintance slipped something into Lockwood's drink at the Gala for Ghosts and it fell to Lucy to look after him.,Teen And Up Audiences,not a series,1,1,completed,2023-05-12,1.0,1.0,oneshot,2023-05-11,2020-04-21,1.0,1115.0,1116.0,active,8,1,1
https://archiveofourown.org/works/47111422,"Sugar, Tea, Table, Grapefruit",ConYamArtist (TinCanTelephone),2023-05-11,2023-05-11,1/1,English,"8,928",44,11,6,361,No Archive Warnings Apply,Lucy Carlyle/Anthony Lockwood,George Cubbins | George Karim,"Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Quill Kipps, Original Child Character(s)","Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Quill Kipps, Original Child Character(s)",Life After continues at Portland Row. Lockwood contemplates spoons.,Teen And Up Audiences,"Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Quill Kipps, Original Child Character(s)",1,1,completed,2023-05-12,1.0,1.0,oneshot,2023-05-11,2023-04-16,1.0,25.0,26.0,active,1,5,5
https://archiveofourown.org/works/47111407,Survival Tactics,MarsStarPower,2023-05-11,2023-05-11,1/?,English,"3,662",22,5,3,246,Creator Chose Not To Use Archive Warnings,Lucy Carlyle/Anthony Lockwood,"Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Quill Kipps, Original Child Character(s)","Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Montagu Barnes, Quill Kipps, Kat Godwin","Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Montagu Barnes, Quill Kipps, Kat Godwin","Lockwood and Lucy are held captive by relic men who decide psychological torture is the best option, making them do things to each other they’ve both dreamed of. Too bad they’re in a nightmare.",Explicit,not a series,1,?,incomplete,2023-05-12,1.0,1.0,multichapter(updating),2023-05-12,2023-02-26,0.0,75.0,75.0,active,5,6,6
https://archiveofourown.org/works/46493629,hug all your friends and let them know,agents_cxrter,2023-04-14,2023-05-11,3/3,English,"6,502",193,31,25,"1,459",No Archive Warnings Apply,Lucy Carlyle/Anthony Lockwood,"Lucy Carlyle, Anthony Lockwood, George Cubbins | George Karim, Montagu Barnes, Quill Kipps, Kat Godwin","Lucy Carlyle, George Cubbins | George Karim, Anthony Lockwood","Lucy Carlyle, George Cubbins | George Karim, Anthony Lockwood","Contrary to popular opinion, Lucy realises she’s in love with both boys on the same day.She feels the tug in her gut, a pleasant twist as Lockwood bandages her sliced arm, cradling her hand with delicate fingers as he murmurs soft apologies.Then she feels it again, less than an hour later, when George triumphantly takes Bobby Vernon – and by extension, the rest of Kipps’ team – down several pegs.Oh, she thinks, looking from Lockwood’s wolfish grin to George’s proud beam. Oh dear. or; Lucy is observant, Lockwood is over-protective and George gets snogged in the Archive stacks.",Teen And Up Audiences,not a series,3,3,completed,2023-05-12,28.0,1.0,multichapter(complete),2023-05-11,2023-02-07,1.0,93.0,94.0,active,6,3,3
