link,title,author,published,updatedate,chapters,language,words,kudos,comments,bookmarks,hits,warning,mainship,relationship,characters,tags,summary,rating,chapter,chapter_max,completion,currentdate,datediff,classification
https://archiveofourown.org/works/46649257,Blood Runs Thicker Than Water,Random_Nerd3,2023-04-21,2023-04-21,1/?,English,"2,513",5,5,0,45,No Archive Warnings Apply,Lucy Carlyle & George Cubbins | George Karim & Anthony Lockwood,"['Lucy Carlyle & George Cubbins | George Karim & Anthony Lockwood', 'Lucy Carlyle/Anthony Lockwood', 'Cassandra Cain & Tim Drake & Dick Grayson & Duke Thomas & Jason Todd & Bruce Wayne & Damian Wayne', 'George Cubbins | George Karim & Everyone', 'Tim Drake & Dick Grayson & Alfred Pennyworth & Jason Todd & Bruce Wayne & Damian Wayne']","['George Cubbins | George Karim', 'Anthony Lockwood', 'Lucy Carlyle', 'Bruce Wayne', 'Alfred Pennyworth', 'Dick Grayson', 'Jason Todd', 'Tim Drake', 'Damian Wayne', 'Cassandra Cain', 'Duke Thomas']","['George Karim Is A Wayne', 'Secret Past', 'Other Various Batfamily Members Will Appear', 'Lockwood and Co Go To Gotham City', 'Hurt/Comfort', 'Angst', 'Found Family', 'Healing', 'George Cubbins | George Karim Swears', 'Past George Cubbins | George Karim/Anthony Lockwood', 'Developing OT3', 'Developing Relationship', 'healing trauma', 'Post-Season/Series 01', 'Crossovers & Fandom Fusions', 'Not Canon Compliant', 'George Cubbins | George Karim Is Traumatized', 'Other Additional Tags to Be Added']","George finally returns home after living in London for the last (almost) five years of his life. With his past unwinding in front of him, he's forced to address the problems he left behind. Including his strained relationship with his father and older brother, facing his reincarnated little brother, and meeting a whole slew of new members of the family.OrI thought ""What if George was actually a Wayne"" and my bestie enabled me.Rated Mature b/c Gotham City.No Smut in this one.",Mature,1,?,incomplete,2023-04-21,0.0,multichapter(updating)
https://archiveofourown.org/works/45793852,Renegades,WaitingForMyHogwartsLetter,2023-03-16,2023-04-21,24/?,English,"110,869",142,248,24,"2,998",Graphic Depictions Of Violence,Lucy Carlyle/Anthony Lockwood,"['Lucy Carlyle/Anthony Lockwood', 'Lucy Carlyle & Anthony Lockwood', 'George Cubbins | George Karim & Anthony Lockwood', 'Flo Bones & Anthony Lockwood', 'Flo Bones & George Cubbins | George Karim', 'Lucy Carlyle & George Cubbins | George Karim', 'Lucy Carlyle/George Cubbins | George Karim', 'George Cubbins | George Karim/Anthony Lockwood', 'Lucy Carlyle & George Cubbins | George Karim & Anthony Lockwood']","['Lucy Carlyle', 'Anthony Lockwood', 'George Cubbins | George Karim', 'Flo Bones', 'The Skull (Lockwood & Co.)', 'Quill Kipps']","['Alternate Universe - The Darkest Minds Fusion', 'The Darkest Minds AU', 'Other Additional Tags to Be Added', 'The Skull is a Little Shit (Lockwood & Co.)', ""He's Also An Actual Teenager"", 'Noah Kahan Lyrics Constantly Present', 'Emotionally Repressed Anthony Lockwood', 'POV Alternating', 'POV Third Person', 'Unreliable Narrator (Sorry)', 'IAAN is now the Problem', ""which makes the Psi Kids 'Problem Children'"", 'Everyone Needs A Hug', 'Psionic abilities', 'Lockwood & Co Are Lowkey Smugglers', 'mix of book and show canon']","When a virus kills off half of the nation’s children, the ones left alive aren’t as lucky as they thought. With powers they can’t control and fear of what will happen to them, order and danger go hand in hand as detainment camps pop up all over Britain. Lucy takes refuge in the haven known as 35 Portland Row, but safety is uncertain as long as someone else is pulling the strings.[Lockwood & Co The Darkest Minds AU]",Teen And Up Audiences,24,?,incomplete,2023-04-21,0.0,multichapter(updating)
https://archiveofourown.org/works/46647835,It must be Love,OctoberSeventeenth,2023-04-21,2023-04-21,1/1,English,"2,569",28,2,0,362,Creator Chose Not To Use Archive Warnings,Lucy Carlyle/Anthony Lockwood,"['Lucy Carlyle/Anthony Lockwood', 'Lucy Carlyle & Anthony Lockwood', 'George Cubbins | George Karim & Anthony Lockwood']","['Lucy Carlyle', 'Anthony Lockwood', 'George Cubbins | George Karim', 'Montagu Barnes']","['Missing Scene', 'Spoilers Book 3 and 4', 'a little fluff', 'Cuddles', 'Comfort', 'Healing', 'Post Other Side', 'lucy is cold', 'Lockwood is too', 'Keeping eachother warm', 'It Must Be Love', 'Mostly safe for Pandas', 'george being george', 'Barnes being Barnes', 'He is just worried about them', 'George is worried too', ""That's why he brings them the condoms"", 'Spooning', 'Sharing a Bed', 'getting a rest', 'Finally', 'Day Off']","After their experience in the ghost realm Lucy and Lockwood quarantine in their room at the village’s inn. Barns has told them not to leave their room, probably mostly to avoid that they get involved with his investigation at the institute, but they make good use of the 3 days off work, to talk and maybe also some other things...Locklyle Fluff ensues.",Teen And Up Audiences,1,1,completed,2023-04-21,0.0,oneshot
https://archiveofourown.org/works/46519282,Perfect,MarsStarPower,2023-04-15,2023-04-21,9/?,English,"20,813",176,127,22,"2,480",Graphic Depictions Of Violence,Lucy Carlyle/Anthony Lockwood,"['Lucy Carlyle/Anthony Lockwood', 'Lucy Carlyle/Original Character(s)', 'Lucy Carlyle & George Cubbins | George Karim', 'Flo Bones/George Cubbins | George Karim']","['Lucy Carlyle', 'Anthony Lockwood', 'George Cubbins | George Karim', 'Original Male Character(s)', 'Flo Bones', 'The Skull (Lockwood & Co.)']","['Jealous Anthony Lockwood', 'Abusive Relationships', 'Domestic Violence', 'Emotional/Psychological Abuse', 'Hurt/Comfort', 'Angst with a Happy Ending', 'Other Additional Tags to Be Added', 'Idiots in Love', 'Not Suitable/Safe For Work', 'Not Safe for Pandas', 'NOT SAFE FOR LILY', 'Aged Up', 'Fat Shaming']","Lucy meets the perfect guy. By the time she realizes he isn’t what he seems, everyone loves him and she just knows there’s absolutely no way anyone would believe her.Lockwood, deliriously jealous, is desperate for a reason for Lucy to break up with her boyfriend, but so far, he seems perfect for her, everything Lockwood isn’t.",Mature,9,?,incomplete,2023-04-21,0.0,multichapter(updating)
https://archiveofourown.org/works/46368916,Knockdown Sales,chiiyo86,2023-04-21,2023-04-21,1/1,English,"6,705",1,0,0,31,No Archive Warnings Apply,Anthony Lockwood/Quill Kipps,['Anthony Lockwood/Quill Kipps'],"['Quill Kipps', 'Anthony Lockwood', 'Kate Godwin']","['Canon Compliant', 'Spoilers for Book 03: The Hollow Boy (Lockwood & Co.)', 'Ghosts', 'Arguing', 'Awkward Kissing']","Working together on the Aickmere Brothers job, Quill and Lockwood have to battle Type Two ghosts as well as themselves - and each other.",Teen And Up Audiences,1,1,completed,2023-04-21,0.0,oneshot
https://archiveofourown.org/works/46644919,Human resources.,orphan_account,2023-04-21,2023-04-21,1/1,English,188,1,0,0,19,Creator Chose Not To Use Archive Warnings,No Romantic Relationship(s),['No Romantic Relationship(s)'],"['Steve Rotwell', 'Holly Munro']","['Set Between Book 03: The Hollow Boy and Book 04: The Creeping Shadow (Lockwood & Co.)', 'Period Typical Attitudes', 'Period-Typical Racism', 'Period-Typical Sexism', 'Sexual Harassment']","Holly Munro is sitting in an office, handing in her letter of resignation from the Rotwell Association.",Mature,1,1,completed,2023-04-21,0.0,oneshot
https://archiveofourown.org/works/46626352,Portofino,OctoberSeventeenth,2023-04-20,2023-04-21,3/3,English,"1,352",6,2,1,96,Creator Chose Not To Use Archive Warnings,Quill Kipps & Anthony Lockwood,"['Quill Kipps & Anthony Lockwood', 'Kat Godwin & Quill Kipps & Ned Shaw & Bobby Vernon', 'George Cubbins | George Karim & Kat Godwin', 'George Cubbins | George Karim & Quill Kipps', 'Anthony Lockwood & Quill Kipps', 'George Cubbins | George Karim & Anthony Lockwood']","['Quill Kipps', 'Kat Godwin', 'Ned Shaw', 'Bobby Vernon', 'George Cubbins | George Karim', 'Anthony Lockwood']","['Missing Scene', 'pre-books', 'Pre-show', 'A Bit of Fluff', 'Mostly them being friends', 'Fittes Gang', 'Mild Spoilers for books 3 and 5', 'mostly concerning Lockwoods family', 'I love Kat Goodwin', 'Kat being a bitch', 'Quill PoV', 'George POV']","It is the summer before Lucy moves to London.Quill Kipps and his team enjoy the perks of being the top team at Fittes and speculate about the motives of mysterious bastard Anthony Lockwood, who is now starting his own agency.Fitte's associate George Karim meets said mysterious bastard during a visit to the library and the two become friends.",Teen And Up Audiences,3,3,completed,2023-04-21,0.0,multichapter(complete)
https://archiveofourown.org/works/46642321,Doors,Oighear,2023-04-21,2023-04-21,1/1,English,500,6,1,0,58,Major Character DeathNo Archive Warnings Apply,Lucy Carlyle & George Cubbins | George Karim & Anthony Lockwood,"['Lucy Carlyle & George Cubbins | George Karim & Anthony Lockwood', 'Lucy Carlyle & Anthony Lockwood', 'George Cubbins | George Karim & Anthony Lockwood']",['Anthony Lockwood'],"['angstpril 2023', 'ambiguous situation', 'They could be dead', 'They could be just gone', 'still tagging MCD to be safe', 'Timeline What Timeline']","Day 21: “You’re on your own, kid”Anthony Lockwood’s house has so many doors and he hates all of them.They’re all closed now.",Teen And Up Audiences,1,1,completed,2023-04-21,0.0,oneshot
https://archiveofourown.org/works/46188124,Dilly Dilly,SinSong,2023-04-02,2023-04-21,4/9,English,"10,256",170,101,18,"1,471",Graphic Depictions Of ViolenceRape/Non-ConUnderage,Lucy Carlyle/Anthony Lockwood,['Lucy Carlyle/Anthony Lockwood'],"['Lucy Carlyle', 'Anthony Lockwood', 'George Cubbins | George Karim', ""Lucy Carlyle's Mother"", 'Mary Carlyle', 'Holly Munro', 'Quill Kipps', 'Montagu Barnes']","['the rape/noncon/underage is all in the past and will not be played out on the page in this fic', 'but it will be referenced', 'so i tagged it just in case', 'Angst', 'Hurt', 'Eventual Comfort', 'Eventual Happy Ending', 'Cinderella AU', 'Lockwood and Lucy have WAY too much trauma', 'Barnes is the fairy godmother', 'against his will', 'Vaguely set in ye olden times', ""Listen lucy's favorite color is blue"", 'Cinderella wears the iconic blue dress', ""that's the basis for this entire fic"", 'Suicidal Thoughts', 'For the both of them']","Lucy's been living as a servant to her mother and sisters for the past four years, trying to earn her place in the world. Lockwood has been king for the last eight, a position he was never supposed to hold. Both of them are drowning in their own guilt.And then Lockwood's councilors declare that there can be no more delaying: he must find himself a wife.",Mature,4,9,incomplete,2023-04-21,0.0,multichapter(updating)
https://archiveofourown.org/works/46640377,Buttered Toast (And Other Essentials),ConYamArtist (TinCanTelephone),2023-04-21,2023-04-21,1/1,English,"5,316",45,5,2,179,No Archive Warnings Apply,Lucy Carlyle & George Cubbins | George Karim & Quill Kipps & Anthony Lockwood,"['Lucy Carlyle & George Cubbins | George Karim & Quill Kipps & Anthony Lockwood', 'Lucy Carlyle & George Cubbins | George Karim', 'George Cubbins | George Karim & Anthony Lockwood', 'Lucy Carlyle/Anthony Lockwood']","['Lucy Carlyle', 'George Cubbins | George Karim', 'Anthony Lockwood', 'Original Cat Character(s)']","['Fluff', 'Domestic Fluff', 'accidental animal acquisition', 'Sickfic', '(just a lil bit)', 'Banter', 'Some Humor', 'POV George Cubbins | George Karim', 'some locklyle hints in there too but honestly this is mostly just about friendship guys', 'Friendship']",George and Lucy (but mostly Lucy) pick up a furry friend on the way home from a job. Can they convince their boss/best friend to let them keep it?,General Audiences,1,1,completed,2023-04-21,0.0,oneshot
