link,language,words,kudos,comments,bookmarks,hits
https://archiveofourown.org/works/45308677,English,"4,255",392,122,25,5544
https://archiveofourown.org/works/46519282,English,"17,318",135,85,16,1808
https://archiveofourown.org/works/46616701,English,"1,626",21,10,3,244
https://archiveofourown.org/works/46616434,English,"6,948",53,5,6,335
https://archiveofourown.org/works/46616116,English,234,0,0,0,29
https://archiveofourown.org/works/46481659,English,"17,463",146,183,13,1573
https://archiveofourown.org/works/46608505,English,"2,489",49,17,2,549
https://archiveofourown.org/works/45793852,English,"105,297",140,242,23,2880
https://archiveofourown.org/works/46612807,English,"1,362",79,18,5,416
https://archiveofourown.org/works/46612975,English,"1,839",13,1,1,149
https://archiveofourown.org/works/46612264,English,"2,218",31,7,2,298
https://archiveofourown.org/works/46469533,English,"5,184",100,34,12,1033
https://archiveofourown.org/works/46093528,English,"26,220",238,131,31,3198
https://archiveofourown.org/works/46597123,English,"2,403",145,21,10,572
https://archiveofourown.org/works/46381468,English,"5,169",111,29,14,1271
https://archiveofourown.org/works/45773677,English,"29,774",371,419,45,5606
https://archiveofourown.org/works/46266553,English,"21,627",96,27,8,1133
https://archiveofourown.org/works/46128526,English,"11,201",87,22,7,1099
https://archiveofourown.org/works/46593232,English,"4,050",80,6,5,490
https://archiveofourown.org/works/46592665,English,988,59,3,1,284
https://archiveofourown.org/works/46568935,English,"2,759",15,4,1,312
https://archiveofourown.org/works/46589206,English,"5,240",97,9,8,558
https://archiveofourown.org/works/46203505,English,"5,087",52,11,7,710
https://archiveofourown.org/works/46587247,English,"1,281",7,1,0,114
https://archiveofourown.org/works/46588315,English,"2,254",38,3,2,209
https://archiveofourown.org/works/46313794,English,"9,854",61,62,5,619
https://archiveofourown.org/works/46183210,English,"10,107",54,21,3,869
https://archiveofourown.org/works/46229668,English,"10,559",232,42,24,2873
https://archiveofourown.org/works/46466170,Українська,"6,078",3,0,0,19
https://archiveofourown.org/works/45817276,English,"3,907",47,8,2,930
https://archiveofourown.org/works/46211653,English,"4,053",57,10,4,551
https://archiveofourown.org/works/46366897,English,"6,216",107,38,15,1306
https://archiveofourown.org/works/46575103,English,"1,383",59,3,1,342
https://archiveofourown.org/works/46280236,English,"12,963",447,189,50,4712
https://archiveofourown.org/works/45552637,English,"11,476",125,15,13,1758
https://archiveofourown.org/works/46570273,English,"2,793",68,1,3,517
https://archiveofourown.org/works/46568050,English,874,62,6,10,423
https://archiveofourown.org/works/46315813,English,"9,442",178,27,16,1879
https://archiveofourown.org/works/46563514,English,"1,520",75,19,2,666
https://archiveofourown.org/works/46562428,English,"3,219",21,2,1,193
https://archiveofourown.org/works/46516504,English,"3,207",27,6,3,272
https://archiveofourown.org/works/46560958,English,"2,792",103,5,8,840
https://archiveofourown.org/works/46232947,English,"9,396",112,38,23,810
https://archiveofourown.org/works/46557160,English,"5,708",95,13,10,692
https://archiveofourown.org/works/44782213,Українська,"4,204",2,2,0,43
https://archiveofourown.org/works/46546858,English,"3,881",36,8,3,279
https://archiveofourown.org/works/46545607,English,477,3,0,0,46
https://archiveofourown.org/works/46512439,English,"3,298",36,12,4,223
https://archiveofourown.org/works/46545298,English,"2,981",101,17,6,907
https://archiveofourown.org/works/46544185,English,727,9,3,0,63
https://archiveofourown.org/works/46225141,English,"11,147",161,60,21,1628
https://archiveofourown.org/works/46108750,English,"10,025",180,69,14,2420
https://archiveofourown.org/works/46533181,English,"1,670",69,16,6,550
https://archiveofourown.org/works/46036882,English,"40,616",334,389,42,7174
https://archiveofourown.org/works/45361381,English,"26,948",241,171,44,3622
https://archiveofourown.org/works/46374463,English,"2,975",30,10,3,269
https://archiveofourown.org/works/45196636,English,"16,559",174,38,27,4407
https://archiveofourown.org/works/46531756,English,"3,344",38,9,2,771
https://archiveofourown.org/works/46520635,English,"11,662",86,11,8,556
https://archiveofourown.org/works/45474022,English,"17,265",85,33,11,874
https://archiveofourown.org/works/46429513,English,"11,662",123,102,10,1355
https://archiveofourown.org/works/46514785,English,918,157,42,10,882
https://archiveofourown.org/works/46510540,English,"1,161",10,2,0,140
https://archiveofourown.org/works/46445644,English,"3,411",86,12,5,1253
https://archiveofourown.org/works/46367782,English,"9,370",139,7,15,2118
https://archiveofourown.org/works/46493629,English,"2,329",107,13,15,524
https://archiveofourown.org/works/46491514,English,"1,868",171,9,7,968
https://archiveofourown.org/works/46489912,English,837,29,4,3,240
https://archiveofourown.org/works/46490665,English,"5,539",153,32,22,835
https://archiveofourown.org/works/46315132,English,"8,735",38,18,3,444
https://archiveofourown.org/works/46085413,English,"15,989",127,104,13,1783
https://archiveofourown.org/works/46474255,English,"10,762",78,61,10,941
https://archiveofourown.org/works/46473562,English,"3,954",9,5,1,93
https://archiveofourown.org/works/46295881,English,"2,951",32,0,1,227
https://archiveofourown.org/works/44881048,English,"17,472",118,44,16,2007
https://archiveofourown.org/works/46031203,English,"11,407",90,36,11,1184
https://archiveofourown.org/works/46465093,English,547,77,4,3,542
https://archiveofourown.org/works/46339879,English,"2,359",70,10,4,1203
https://archiveofourown.org/works/46452142,English,"1,015",56,12,8,276
https://archiveofourown.org/works/46451566,English,"1,488",108,3,12,794
https://archiveofourown.org/works/45625834,English,"21,046",51,3,3,703
https://archiveofourown.org/works/46447390,English,"4,381",79,4,7,709
https://archiveofourown.org/works/46446364,English,"1,981",171,15,17,1039
https://archiveofourown.org/works/46266304,English,"8,093",84,24,8,1885
https://archiveofourown.org/works/46188124,English,"7,947",148,75,18,1144
https://archiveofourown.org/works/46431190,English,"5,386",35,7,1,266
https://archiveofourown.org/works/46433071,English,"1,814",7,1,0,308
https://archiveofourown.org/works/46432357,English,"2,873",134,10,7,1094
https://archiveofourown.org/works/46431946,English,"7,014",150,15,20,891
https://archiveofourown.org/works/46431418,English,"2,601",200,20,20,1045
https://archiveofourown.org/works/45992374,English,"8,451",66,36,8,404
https://archiveofourown.org/works/46424269,English,"2,677",59,13,5,379
https://archiveofourown.org/works/46422805,English,328,1,0,0,75
https://archiveofourown.org/works/46422130,English,356,1,0,0,31
