release_date,title,location,s1release_date,genre,imdb,rottentomato,ranking,season
May 17, McGregor Forever , United States , 05/17/2023 , Documentary , ,,,season 1 
May 17, Working: What We Do All Day , United States , 05/17/2023 , Documentary , ,,,season 1 
May 12, Mulligan , United States , 05/12/2023 , Animation ,4.5,,15,season 1 
May 12, Black Knight , South Korea , 05/12/2023 , Science Fiction ,6.3,,3484,season 1 
May 12, Queer Eye , United States , 02/07/2018 , Reality-Show ,8.5,93,1633,season 7 
May 10, Missing: Dead or Alive? , United States , 05/10/2023 , Crime ,5,,1045,season 1 
May 10, Queen Cleopatra , United States , 05/10/2023 , Documentary , ,,2375,season 1 
May 4, Sanctuary , Japan , 05/04/2023 , Drama ,7.9,80,594,season 1 
May 4, Larva Family , United States , 05/04/2023 , Animation , ,,1,season 1 
May 4, Queen Charlotte: A Bridgerton Story , United States , 05/04/2023 , Drama ,7.4,,10983,season 1 
May 3, Jewish Matchmaking , Israel , 05/03/2023 , Reality-Show ,5.8,,291,season 1 
May 2, Terzi , Turkey , 05/02/2023 , Mystery ,6,,3979,season 1 
May 2, Love Village , United States , 04/02/2023 , Reality-Show ,7.3,,30,season 1 
Apr 28, Wave Makers , Taiwan , 04/28/2023 , Drama ,8.5,,188,season 1 
Apr 28, King of Collectibles: The Goldin Touch , United States , 04/28/2023 , Reality-Show ,6.5,,84,
Apr 27, The Nurse , Denmark , 04/27/2023 , Crime ,6.9,,2862,season 1 
Apr 27, Sweet Tooth , United States , 06/04/2021 , Superhero ,7.8,97,25363,season 2 
Apr 26, The Good Bad Mother , South Korea , 04/26/2023 , Comedy ,7.9,,1417,season 1 
Apr 26, El amor después del amor , Argentina , 04/26/2023 , Drama ,7.9,,509,season 1 
Apr 25, Risqué Business: Japan , South Korea , 04/25/2023 , Reality-Show ,7.1,,104,season 1 
Apr 21, Rough Diamonds , Belgium , 04/21/2023 , Crime ,7.3,,2934,season 1 
Apr 21, Welcome to Eden , Spain , 05/06/2022 , Science Fiction ,5.6,,17044,season 2 
Apr 20, Ex-Addicts Club , Indonesia , 04/20/2023 , Comedy ,7.9,,,
Apr 20, Tooth Pari: When Love Bites , India , 04/20/2023 , Comedy ,7.2,,821,season 1 
Apr 20, The Diplomat , United States , 04/20/2023 , Drama ,8.1,93,12244,season 1 
Apr 19, Chimp Empire , United Kingdom , 04/19/2023 , Documentary ,8.4,,11,
Apr 18, How to Get Rich , United States , 04/18/2023 , Documentary ,6.2,,753,season 1 
Apr 14, Queenmaker , South Korea , 04/14/2023 , Drama ,7.6,,4465,season 1 
Apr 13, Obsession , United Kingdom , 04/13/2023 , Drama ,5.1,,5804,season 1 
Apr 13, Il Caso Alex Schwazer , Italy , 04/13/2023 , Documentary ,7.6,,46,
Apr 13, Florida Man , United States , 04/13/2023 , Crime ,6.7,,3737,season 1 
Apr 12, American Manhunt: The Boston Marathon Bombing , United States , 04/12/2023 , Documentary ,7.5,,1601,season 1 
Apr 7, Thicker Than Water , France , 04/07/2023 , Crime ,5.7,,1244,season 1 
Apr 7, Transatlantic , United Kingdom , 04/07/2023 , Drama ,6.5,,2718,season 1 
Apr 6, IRL: In Real Love , India , 04/06/2023 , Reality-Show ,2.9,,231,season 1 
Apr 6, Beef , United States , 04/06/2023 , Comedy ,8.2,100,12752,season 1 
Apr 6, Slasher , Canada , 03/04/2016 , Horror ,6.7,66,,season 5 
Apr 2, Krigsseileren , Norway , 04/02/2023 , Drama ,7.3,,1691,season 1 
Mar 31, Copycat Killer , Taiwan , 03/31/2023 , Crime ,7,,1515,season 1 
Mar 30, From Me to You: Kimi ni Todoke , Japan , 03/30/2023 , Comedy ,6.8,,159,season 1 
Mar 30, Unstable , United States , 03/30/2023 , Comedy ,6.7,,890,season 1 
Mar 29, Emergency: NYC , United States , 03/29/2023 , Documentary ,8.3,,935,season 1 
Mar 29, Unseen , South Africa , 03/29/2023 , Crime ,5.8,,3172,season 1 
Mar 29, Wellmania , Australia , 03/29/2023 , Comedy ,6.8,,2804,season 1 
Mar 24, Biz Kimden Kaçıyorduk Anne? , Turkey , 03/24/2023 , Crime ,5.7,,5903,season 1 
Mar 24, Soy Georgina , United States , 01/27/2022 , Reality-Show ,4,,8235,season 2 
Mar 24, Love Is Blind , United States , 02/13/2020 , Reality-Show ,4.2,70,34054,season 4 
Mar 23, The Night Agent , United States , 03/23/2023 , Drama ,7.5,,33544,season 1 
Mar 22, Waco: American Apocalypse , United States , 03/22/2023 , Documentary ,7,,1046,season 1 
Mar 22, Invisible City , Canada , 02/05/2021 , Mystery ,7.2,,1713,season 2 
Mar 20, Gabby's Dollhouse , United States , 01/05/2021 , Animation ,7.2,,5479,season 7 
Mar 17, Hasta el cielo: La serie , Spain , 03/17/2023 , Crime ,6.2,,3969,season 1 
Mar 17, Dance 100 , United States , 03/17/2023 , Reality-Show ,6.2,,199,
Mar 17, Agent Elvis , United States , 03/17/2023 , Animation ,6.9,,,season 1 
Mar 16, Shadow and Bone , United States , 04/23/2021 , Fantasy ,7.6,88,29589,season 2 
Mar 15, The Law of the Jungle , Mexico , 03/15/2023 , Reality-Show , ,,35,
Mar 14, Ariyoshi Assists , Japan , 03/14/2023 , Comedy ,7.6,,56,season 1 
Mar 10, Outlast , United States , 03/10/2023 , Reality-Show ,5.1,,1354,season 1 
