release_date,title,location,s1release_date,genre,imdb,rottentomato,ranking,season
17-May, McGregor Forever , United States , 05/17/2023 , Documentary , ,,,season 1 
17-May, Working: What We Do All Day , United States , 05/17/2023 , Documentary , ,,,season 1 
12-May, Mulligan , United States , 05/12/2023 , Animation ,4.5,,15,season 1 
12-May, Black Knight , South Korea , 05/12/2023 , Science Fiction ,6.3,,3484,season 1 
12-May, Queer Eye , United States , 02/07/2018 , Reality-Show ,8.5,93,1633,season 7 
10-May, Missing: Dead or Alive? , United States , 05/10/2023 , Crime ,5,,1045,season 1 
10-May, Queen Cleopatra , United States , 05/10/2023 , Documentary , ,,2375,season 1 
4-May, Sanctuary , Japan , 05/04/2023 , Drama ,7.9,80,594,season 1 
4-May, Larva Family , United States , 05/04/2023 , Animation , ,,1,season 1 
4-May, Queen Charlotte: A Bridgerton Story , United States , 05/04/2023 , Drama ,7.4,,10983,season 1 
3-May, Jewish Matchmaking , Israel , 05/03/2023 , Reality-Show ,5.8,,291,season 1 
2-May, Terzi , Turkey , 05/02/2023 , Mystery ,6,,3979,season 1 
2-May, Love Village , United States , 04/02/2023 , Reality-Show ,7.3,,30,season 1 
28-Apr, Wave Makers , Taiwan , 04/28/2023 , Drama ,8.5,,188,season 1 
28-Apr, King of Collectibles: The Goldin Touch , United States , 04/28/2023 , Reality-Show ,6.5,,84,
27-Apr, The Nurse , Denmark , 04/27/2023 , Crime ,6.9,,2862,season 1 
27-Apr, Sweet Tooth , United States , 06/04/2021 , Superhero ,7.8,97,25363,season 2 
26-Apr, The Good Bad Mother , South Korea , 04/26/2023 , Comedy ,7.9,,1417,season 1 
26-Apr, El amor después del amor , Argentina , 04/26/2023 , Drama ,7.9,,509,season 1 
25-Apr, Risqué Business: Japan , South Korea , 04/25/2023 , Reality-Show ,7.1,,104,season 1 
21-Apr, Rough Diamonds , Belgium , 04/21/2023 , Crime ,7.3,,2934,season 1 
21-Apr, Welcome to Eden , Spain , 05/06/2022 , Science Fiction ,5.6,,17044,season 2 
20-Apr, Ex-Addicts Club , Indonesia , 04/20/2023 , Comedy ,7.9,,,
20-Apr, Tooth Pari: When Love Bites , India , 04/20/2023 , Comedy ,7.2,,821,season 1 
20-Apr, The Diplomat , United States , 04/20/2023 , Drama ,8.1,93,12244,season 1 
19-Apr, Chimp Empire , United Kingdom , 04/19/2023 , Documentary ,8.4,,11,
18-Apr, How to Get Rich , United States , 04/18/2023 , Documentary ,6.2,,753,season 1 
14-Apr, Queenmaker , South Korea , 04/14/2023 , Drama ,7.6,,4465,season 1 
13-Apr, Obsession , United Kingdom , 04/13/2023 , Drama ,5.1,,5804,season 1 
13-Apr, Il Caso Alex Schwazer , Italy , 04/13/2023 , Documentary ,7.6,,46,
13-Apr, Florida Man , United States , 04/13/2023 , Crime ,6.7,,3737,season 1 
12-Apr, American Manhunt: The Boston Marathon Bombing , United States , 04/12/2023 , Documentary ,7.5,,1601,season 1 
7-Apr, Thicker Than Water , France , 04/07/2023 , Crime ,5.7,,1244,season 1 
7-Apr, Transatlantic , United Kingdom , 04/07/2023 , Drama ,6.5,,2718,season 1 
6-Apr, IRL: In Real Love , India , 04/06/2023 , Reality-Show ,2.9,,231,season 1 
