tweet_id,created_at,user,full_text,favorite_count,retweet_count,hashtags
1666719926105645056,2023-06-08 08:12:51+00:00,lovinpages,"RT @ArwenTheWriter: Listen the camera angles and the lighting LITERALLY make them look like paintings the whole show is a work of art, I ju…",0,5,#ArtistryofLockwoodandCo
1666718463027470336,2023-06-08 08:07:02+00:00,Iff_ustin,"@WillieMcGregor @viv_winternight @FictionComplete @JonathanAStroud Omg this is so cool. The attention to detail even if we can't necessarily see it is sooo gooood!!

#SaveLockwoodandCo 
#ArtistryofLockwoodandCo",0,0,#ArtistryofLockwoodandCo
1666716607148589056,2023-06-08 07:59:39+00:00,lobotomyllamb,"RT @cass4stories: I knew nothing about the story coming in, but the first time I heard the subtle pulse + silence, it was clear they were u…",0,19,#ArtistryofLockwoodandCo
1666716560923279362,2023-06-08 07:59:28+00:00,lobotomyllamb,RT @Thebiscuitrule: I was today's years old when I learned you can see Lockwoods ghost touched shoulder in the opening credits. Which expla…,0,7,#ArtistryofLockwoodandCo
1666716517336006656,2023-06-08 07:59:18+00:00,lobotomyllamb,"RT @nemesisn15: Good evening LockNation!
Today we tweet about #ArtistryofLockwoodandCo and I cannot stay silent about the art of swordfight…",0,25,#ArtistryofLockwoodandCo
1666715803721297920,2023-06-08 07:56:28+00:00,lobotomyllamb,"RT @amelia_argent: I would prefer friends like this❤❤❤ They are the way better!!! 
#SaveLockwoodandCo #ArtistryofLockwoodandCo 
Lockwood an…",0,8,#ArtistryofLockwoodandCo
1666715724251820033,2023-06-08 07:56:09+00:00,lobotomyllamb,"RT @ArwenTheWriter: Listen the camera angles and the lighting LITERALLY make them look like paintings the whole show is a work of art, I ju…",0,5,#ArtistryofLockwoodandCo
1666715664520818695,2023-06-08 07:55:55+00:00,lobotomyllamb,"RT @amelia_argent: I can't stop staring at these Lockwood and Co photos! You should reconsider your decision! 
#SaveLockwoodandCo #Artistry…",0,11,#ArtistryofLockwoodandCo
1666715292217618432,2023-06-08 07:54:26+00:00,carla_lightwood,RT @afflictionism: the significance of green lighting in lockwood and co.: a thread by me #SaveLockwoodandCo #ArtistryofLockwoodandCo https…,0,39,#ArtistryofLockwoodandCo
1666714627906863104,2023-06-08 07:51:48+00:00,vxsmxrianne,"RT @viv_winternight: The mirrors in Lockwood and Co, a thread.

Lucy and Norrie, episode 1.

#SaveLockwoodandCo #ArtistryofLockwoodandCo ht…",0,12,#ArtistryofLockwoodandCo
1666714091056947200,2023-06-08 07:49:40+00:00,dublinfives,"@nabeiradorio YOU NEEEEEED TO WATCH IT!! it’s on n*tflix!! 
#SaveLockwoodandCo #ArtistryofLockwoodandCo",0,0,#ArtistryofLockwoodandCo
