tweet_id,created_at,user,full_text,favorite_count,retweet_count,hashtags
1663442247814205441,2023-05-30 07:08:31+00:00,ItsEsterBastos,"I date Lucy and Lockwood dating 
I need more of them 
#ParamountForLockwoodandCo 
#SaveLockwoodandCo 
#BringBackLockwoodandCo 
#Locklyle https://t.co/4v9OSIMFrF",7,0,#BringBackLockwoodandCo
1663397541621248000,2023-05-30 04:10:53+00:00,ItsEsterBastos,"I present to you my top 4 Ruby Stokes pics 
#ParamountForLockwoodandCo
#SaveLockwoodandCo 
#BringBackLockwoodandCo https://t.co/euB6Nyfbch",2,0,#BringBackLockwoodandCo
1663254289559453713,2023-05-29 18:41:39+00:00,dfrdgyvhv,@NetflixUK #BringBackLockwoodandCo #LockwoodandCo #lockwoodandcoseason2 #SaveLockwoodandCo,0,0,#BringBackLockwoodandCo
1663254017584005136,2023-05-29 18:40:34+00:00,dfrdgyvhv,@ameliajfilms @NetflixUK @bridgerton #BringBackLockwoodandCo,0,0,#BringBackLockwoodandCo
1663079500203032576,2023-05-29 07:07:06+00:00,lobotomyllamb,RT @ItsEsterBastos: How was Netflix able to waste the chemistry of these two??? They had everything to be one of the greatest series couple…,0,3,#BringBackLockwoodandCo
1663079224595431429,2023-05-29 07:06:00+00:00,Lockwood1494,RT @ItsEsterBastos: How was Netflix able to waste the chemistry of these two??? They had everything to be one of the greatest series couple…,0,3,#BringBackLockwoodandCo
1663074367322857472,2023-05-29 06:46:42+00:00,artoo_and_3PO,"#LockwoodGhostAuditions 

🎬 scenes I’d love to see in season 2: part 4

#SaveLockwoodandCo #BringBackLockwoodandCo #LockwoodandCo https://t.co/QrpSwNkOyC",1,0,#BringBackLockwoodandCo
1663017280169553920,2023-05-29 02:59:51+00:00,ItsEsterBastos,"How was Netflix able to waste the chemistry of these two??? They had everything to be one of the greatest series couples, but netflix ended our locklyle 
#JustRecklessEnough 
#SaveLockwoodandCo 
#Locklyle
#BringBackLockwoodandCo https://t.co/2Vo2rgcyFN",19,3,#BringBackLockwoodandCo
1663016287692378112,2023-05-29 02:55:54+00:00,ItsEsterBastos,"every time i remember that netflix stole this couple from us i get pissed, netflix will pay for canceling my locklyle 
#JustRecklessEnough 
#SaveLockwoodandCo 
#Locklyle
#BringBackLockwoodandCo https://t.co/R98BZQp3bR",10,0,#BringBackLockwoodandCo
1663008121495736320,2023-05-29 02:23:28+00:00,ItsEsterBastos,"#JustRecklessEnough 
#SaveLockwoodandCo 
#BringBackLockwoodandCo",0,0,#BringBackLockwoodandCo
1662960281461354497,2023-05-28 23:13:22+00:00,Lockwood1494,RT @pao_morquecho: 💙🖤⚔️ #LockwoodandCoSeason2 #renewlockwoodandco #SaveLockwoodandCo #BringBackLockwoodandCo #locklyle #TogetherForLockwood…,0,1,#BringBackLockwoodandCo
1662960022182060033,2023-05-28 23:12:20+00:00,pao_morquecho,💙🖤⚔️ #LockwoodandCoSeason2 #renewlockwoodandco #SaveLockwoodandCo #BringBackLockwoodandCo #locklyle #TogetherForLockwoodandCo #DisneyForLockwoodandCo #BBCforLockwoodandCo #Primeforlockwoodandco #AppleTVforLockwoodandCo https://t.co/4xNUy3nIh8,1,1,#BringBackLockwoodandCo
1662846702045257729,2023-05-28 15:42:02+00:00,chocowhitel,"RT @ItsEsterBastos: I can't wait to wake up and see a bunch of notifications on twitter saying Lockwood &amp; Co has been saved, I really can't…",0,6,#BringBackLockwoodandCo
1662831847783514112,2023-05-28 14:43:01+00:00,2vargas2jpablos,"RT @ItsEsterBastos: I can't wait to wake up and see a bunch of notifications on twitter saying Lockwood &amp; Co has been saved, I really can't…",0,6,#BringBackLockwoodandCo
1662801802566283264,2023-05-28 12:43:37+00:00,SaturnWidow,"RT @ItsEsterBastos: I can't wait to wake up and see a bunch of notifications on twitter saying Lockwood &amp; Co has been saved, I really can't…",0,6,#BringBackLockwoodandCo
1662794921353330691,2023-05-28 12:16:17+00:00,evagarridovida1,"RT @ItsEsterBastos: I can't wait to wake up and see a bunch of notifications on twitter saying Lockwood &amp; Co has been saved, I really can't…",0,6,#BringBackLockwoodandCo
1662709463021748225,2023-05-28 06:36:42+00:00,artoo_and_3PO,#SaveLockwoodandCo #BringBackLockwoodandCo #JustRecklessEnough https://t.co/ni8Ucbcb09,1,0,#BringBackLockwoodandCo
1662695304582266881,2023-05-28 05:40:26+00:00,artoo_and_3PO,"#JustRecklessEnough #SaveLockwoodandCo #BringBackLockwoodandCo 

🧡💙🖤

https://t.co/z5h6B0p7dS",2,1,#BringBackLockwoodandCo
1662505730937634817,2023-05-27 17:07:08+00:00,ItsEsterBastos,"Forever Winter (Taylor's Version) (From The Vault)
#JustRecklessEnough 
#SaveLockwoodandCo 
#BringBackLockwoodandCo",0,0,#BringBackLockwoodandCo
1662452281948753921,2023-05-27 13:34:45+00:00,ItsEsterBastos,"me every time ruby ​​stokes shows her beauty to the world: you're so gorgeous, i can't say anything to your face, 'cause look at your face
#JustRecklessEnough
#SaveLockwoodandCo 
#BringBackLockwoodandCo",6,0,#BringBackLockwoodandCo
