tweet_id,created_at,user,full_text,favorite_count,retweet_count,hashtags
1.66e+18,2023-05-28 17:41:31+00:00,LeomaLovie,RT @Godsgirljune: @SFXmagazine Yes amazing!! We will be voting! Seeing this though reminds me of all the potential this show has for more a…,0,1,#FridayNightatPortlandRow
1.66e+18,2023-05-28 17:41:31+00:00,leslee_robbi,"RT @shirmjs: @SFXmagazine THANK YOU SFX MAGAZINE ❤️

#LockwoodandCo 
#SaveLockwoodandCo 
#FridayNightAtPortlandRow",0,1,#FridayNightatPortlandRow
1.66e+18,2023-05-28 14:12:06+00:00,PartyPoisonSays,RT @lockwoodandco13: ‼️How to vote for Lockwood &amp; Co on National Film Awards 2023; a very detailed thread #SaveLockwoodandCo #FridayNightAt…,0,57,#FridayNightatPortlandRow
1.66e+18,2023-05-28 08:31:23+00:00,verablestar,"RT @mixleven: it’s the hands for me in this scene 🥹
#FridayNightatPortlandRow 
#SaveLockwoodandCo https://t.co/pl10GRbYtr",0,55,#FridayNightatPortlandRow
1.66e+18,2023-05-28 08:29:16+00:00,verablestar,"RT @mixleven: they’re each others light 😭😭😭
#FridayNightatPortlandRow 
#SaveLockwoodandCo https://t.co/mYbwf4QoqF",0,20,#FridayNightatPortlandRow
1.66e+18,2023-05-28 06:29:55+00:00,ElisePatricia96,"RT @GeorginaStroud1: I have just voted for Lockwood and Co for BEST DRAMA SERIES in the National Film Awards! 💙What about you? 
https://t.c…",0,103,#FridayNightatPortlandRow
1.66e+18,2023-05-28 03:14:15+00:00,carlyleswiftie,RT @lockwoodandco13: ‼️How to vote for Lockwood &amp; Co on National Film Awards 2023; a very detailed thread #SaveLockwoodandCo #FridayNightAt…,0,57,#FridayNightatPortlandRow
1.66e+18,2023-05-27 22:04:31+00:00,Juliebean512,RT @bloptea: ITS THE WAY THE DISNEY+ REPS CONFIRM DISNEYPLUS IS TRYING TO BUY LOCKWOOD AND CO AND TO GET US A SECOND SEASON ANSNSSN YES #Sa…,0,88,#FridayNightatPortlandRow
1.66e+18,2023-05-27 10:12:46+00:00,lockwoodandco13,RT @lockwoodandco13: ‼️How to vote for Lockwood &amp; Co on National Film Awards 2023; a very detailed thread #SaveLockwoodandCo #FridayNightAt…,0,57,#FridayNightatPortlandRow
1.66e+18,2023-05-27 05:39:32+00:00,OdetteMaryrose,RT @bunnyellabell: @NetflixGeeked :) #savelockwoodandco #fridaynightatportlandrow https://t.co/yJkpmHYnYz,0,2,#FridayNightatPortlandRow
1.66e+18,2023-05-25 20:42:21+00:00,desiree_layman,RT @lockwoodandco13: ‼️How to vote for Lockwood &amp; Co on National Film Awards 2023; a very detailed thread #SaveLockwoodandCo #FridayNightAt…,0,57,#FridayNightatPortlandRow
1.66e+18,2023-05-24 07:49:48+00:00,lockwoodandco13,"RT @JonathanAStroud: To vote, you need to register your profile at the bottom of the nominations page. Then you can make your choice. Vote…",0,46,#FridayNightatPortlandRow
