tweet_id,created_at,user,full_text,favorite_count,retweet_count,hashtags
1663837364030939136,2023-05-31 09:18:34+00:00,Lockwood1494,@Yourmother50 @ParamountUK @paramountplus Already signed. 👻⚔️👻#SaveLockwoodandCo #SkullandCo,0,0,#SkullandCo
1663837286839078912,2023-05-31 09:18:16+00:00,lovinpages,"RT @Earthling738: I have to say, this is still one of my favorite pictures ever! 

Thank you, Joe Cornish, for giving us something that's w…",0,2,#SkullandCo
1663837197781311488,2023-05-31 09:17:55+00:00,Lockwood1494,"RT @Earthling738: I have to say, this is still one of my favorite pictures ever! 

Thank you, Joe Cornish, for giving us something that's w…",0,2,#SkullandCo
1663836844042141697,2023-05-31 09:16:30+00:00,nemesisn15,"@alice_mirror_ @ababahalamaha Your edition is so beautiful 😍 

#SaveLockwoodandCo
#SkullandCo",1,0,#SkullandCo
1663836669722673155,2023-05-31 09:15:49+00:00,Earthling738,"I have to say, this is still one of my favorite pictures ever! 

Thank you, Joe Cornish, for giving us something that's worth fighting for ⚔️👻💜

I'll be forever grateful! (Best thing on Netflix hands down) 

#SaveLockwoodandCo #SkullandCo https://t.co/g7idB0XGWW",2,2,#SkullandCo
1663836645546655744,2023-05-31 09:15:43+00:00,KazAndWaffles,"@PopCrave Lockwood and Lucy 
#SaveLockwoodandCo
#SkullandCo https://t.co/wnq27eT6IJ",0,0,#SkullandCo
1663836392919560192,2023-05-31 09:14:43+00:00,alice_mirror_,"@hollowgirlhan My Goooood, how much I miss them 😭
#SaveLockwoodandCo
#SkullandCo",0,0,#SkullandCo
1663836229039972355,2023-05-31 09:14:04+00:00,tessamco,"Impressive! 🤯
#SaveLockwoodandCo #SkullandCo
#LockwoodandCo https://t.co/fscNEF4Y4o",0,0,#SkullandCo
1663835672950521856,2023-05-31 09:11:51+00:00,Thebiscuitrule,@phinlands Am I right in remembering Being a bit good at tennis was also on actual Cameron's skills CV? 🤔  #SaveLockwoodandCo #SkullandCo,0,0,#SkullandCo
1663835415671980033,2023-05-31 09:10:50+00:00,lovinpages,"RT @Lockwood1494: We will get them back on our screens. LockNation will #SaveLockwoodandCo #ParamountForLockwoodandCo 
#SkullandCo 
@Paramo…",0,2,#SkullandCo
1663835405832146950,2023-05-31 09:10:47+00:00,KazAndWaffles,"@ParamountPlusUK @paramountplus @BBCOne @primevideouk @PrimeVideo @DisneyPlus @DisneyPlusUK 
#SaveLockwoodandCo
#SkullandCo https://t.co/F2YtG2juvk",0,0,#SkullandCo
1663834779291099136,2023-05-31 09:08:18+00:00,Lockwood1494,"RT @MackenzieSigler: A peak into my camera roll right now
#SaveLockwoodandCo #SkullandCo https://t.co/MQsOZx7CPO",0,0,#SkullandCo
1663834729756389381,2023-05-31 09:08:06+00:00,Earthling738,"RT @CreatureBuff: Bringing this back for today's hashtag and for the new members of locknation. Have fun!

#SkullandCo #SaveLockwoodandCo h…",0,1,#SkullandCo
1663834594234204160,2023-05-31 09:07:34+00:00,Earthling738,RT @yve_mary: Good morning everyone👻 @ParamountPlusUK @PrimeVideo @DisneyPlus @BBCOne @AppleTV how does 18 K new subscribers sound? Irresis…,0,4,#SkullandCo
1663834557756350466,2023-05-31 09:07:25+00:00,Earthling738,"RT @Lockwood1494: Thank You  @lockwoody_ 
“Lockwood and co is my comfort show” also. It is one of the best way to describe Lockwood and co.…",0,1,#SkullandCo
1663834381860081666,2023-05-31 09:06:43+00:00,eliteONEYT,Skull &amp; Co. Grip Case with Maxcarry Case #SkullandCo #NintendoSwitch #GripCase https://t.co/Lnf0FvV5My,0,0,#SkullandCo
1663834244630691841,2023-05-31 09:06:11+00:00,Lockwood1494,"Thank You  @lockwoody_ 
“Lockwood and co is my comfort show” also. It is one of the best way to describe Lockwood and co. 

#SaveLockwoodandCo #SkullandCo https://t.co/a557T9gyNv",1,1,#SkullandCo
1663834220219736064,2023-05-31 09:06:05+00:00,Earthling738,#SkullandCo #SaveLockwoodandCo,1,0,#SkullandCo
1663833876802707459,2023-05-31 09:04:43+00:00,sharlenthusiast,@vansunshin3 but we love him for it #SaveLockwoodandCo #SkullandCo,0,0,#SkullandCo
1663833587685138433,2023-05-31 09:03:34+00:00,alice_mirror_,"Good morning, LockNation! Hope your day is better than Quill's!)
#SaveLockwoodandCo
#SkullandCo https://t.co/vwEpVUItPr",3,0,#SkullandCo
1663833556932542466,2023-05-31 09:03:27+00:00,nelsonsdragon,"RT @Lockwood1494: I never have one favourite. The cinematography in Lockwood and co is stunning. 
#SaveLockwoodandCo #SkullandCo https://t.…",0,3,#SkullandCo
