tweet_id,created_at,user,full_text,favorite_count,retweet_count,hashtags
1.66e+18,2023-05-28 08:32:35+00:00,1sabellarry,RT @immzy_: OMG LOCKWOOD AND CO SEASON 2 SPOILERRRRR #SaveLockwoodandCo #WatchPartyatPortlandRow https://t.co/hble3DfmyL,0,41,#WatchPartyatPortlandRow
1.66e+18,2023-05-25 22:35:18+00:00,BeckGilet,RT @evagarridovida1: Seeing what Lockwood and Co means to all of us made me cry 😭. Don't hesitate on leaving your own comment!! Tell us wha…,0,31,#WatchPartyatPortlandRow
1.66e+18,2023-05-24 17:20:05+00:00,slytheresy,"I ache a little whenever I think about them now, because I know I won’t get to see the show finish properly. #BBCforLockwoodandCo #DisneyForLockwoodandCo #SaveLockwoodandCo #WatchPartyatPortlandRow #GhostHuntersWatchParty https://t.co/Rw304ZqpAS",2,0,#WatchPartyatPortlandRow
1.66e+18,2023-05-24 15:11:07+00:00,TheWatcher0236,"RT @onebignxthing: i’m still here btw

#WatchPartyatPortlandRow #SaveLockwoodandCo",0,24,#WatchPartyatPortlandRow
1.66e+18,2023-05-24 14:27:13+00:00,littlem52401022,"RT @phinlands: top searches‼️‼️‼️

#SaveLockwoodandCo 
#WatchPartyatPortlandRow https://t.co/b7bNEPqxD1",0,46,#WatchPartyatPortlandRow
1.66e+18,2023-05-24 14:26:52+00:00,littlem52401022,RT @BBflowers21: So anyone else think that the L&amp;C cast should do a recording of the audio books? Personally I’d love that 💙🖤🧡 #SaveLockwoo…,0,27,#WatchPartyatPortlandRow
1.66e+18,2023-05-24 07:23:02+00:00,CorneliaMiche20,"RT @onebignxthing: she’s just an associate / he’s my             employer

and it’s just two fools looking at each other like that 

#Watch…",0,40,#WatchPartyatPortlandRow
1.66e+18,2023-05-24 04:07:22+00:00,slytheresy,"I text my sister live comments while reading my books, this is me reading the Empty Grave:
#DisneyForLockwoodandCo
#SaveLockwoodandCo
#WatchPartyatPortlandRow https://t.co/0qXdARnyQT",0,0,#WatchPartyatPortlandRow
1.66e+18,2023-05-24 01:14:39+00:00,super_star_96,"RT @nelsonsdragon: The fact that I am delaying finishing the last Lockwood &amp; Co book because I don’t want to leave them 

#SaveLockwoodandC…",0,5,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 22:48:37+00:00,yazaleea,"RT @onebignxthing: she’s just an associate / he’s my             employer

and it’s just two fools looking at each other like that 

#Watch…",0,40,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 21:41:12+00:00,M_Ancsi,RT @Ceggle143: Just noticing in ep 4 that Lockwood says “please tell me there’s tea” as if Lucy has made some but then he hands her a mug o…,0,5,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 19:01:04+00:00,Samia221b,"RT @onebignxthing: i’m still here btw

#WatchPartyatPortlandRow #SaveLockwoodandCo",0,24,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 18:44:02+00:00,lobotomyllamb,"RT @lockwoody_: was i too real for this 
#SaveLockwoodandCo #WatchPartyatPortlandRow https://t.co/O5drwONUM8",0,5,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 18:11:48+00:00,linacarlyle,"RT @onebignxthing: she’s just an associate / he’s my             employer

and it’s just two fools looking at each other like that 

#Watch…",0,40,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 17:32:39+00:00,maeveralia,"RT @blue_mirmaid: “I thought you’d be dead by now” and he looks over at lucy.

‼️BOOK SPOILERS (tcs)‼️

It’s giving “if anything I think yo…",0,7,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 16:15:02+00:00,amazonlite2727,"RT @lockwoody_: was i too real for this 
#SaveLockwoodandCo #WatchPartyatPortlandRow https://t.co/O5drwONUM8",0,5,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 15:43:08+00:00,bunnyellabell,"RT @lala_slide: the ship                                           the shipper

#SaveLockwoodandCo 
#WatchPartyatPortlandRow https://t.co/v…",0,9,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 14:00:23+00:00,TheWatcher0236,RT @evagarridovida1: We are almost on the top of this!! Keep fighting LockNation!! Every small win will help us reach the victory‼️‼️🗡️🗡️ #…,0,7,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 13:41:21+00:00,anniesads_,"RT @nelsonsdragon: This shot, 35 Portland Row is their home #savelockwoodandco #WatchPartyatPortlandRow https://t.co/9GaBY9kYrN",0,3,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 13:22:52+00:00,kabitanaik29,"RT @the_hollowgirl: ""you feel safe with him."" - Penelope Fittes
edit by: @holloway_giri on tt

#savelockwoodandco #WatchPartyatPortlandRow…",0,6,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 13:17:27+00:00,kabitanaik29,RT @Thebiscuitrule: Also this reminds me how amused I am by how everytime one of them is reading out a book/newspaper they follow the words…,0,9,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 13:17:18+00:00,kabitanaik29,"RT @alice_mirror_: In books children become agents even earlier, at the age of 8, and obviously had no time to go to school since then, it…",0,24,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 11:29:39+00:00,bloptea,"RT @onebignxthing: we love a good cameo! @JonathanAStroud 🥰 (it actually took me like 5 rewatches to notice lol)

#WatchPartyatPortlandRow…",0,36,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 11:17:09+00:00,lynxthegreat3,RT @super_star_96: I’m praying that CF is working behind the scenes to give us another season 😭 #SaveLockwoodandCo #WatchPartyatPortlandRow,0,22,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 11:17:05+00:00,lynxthegreat3,"RT @lavenderghostco: Hi LockNation!!

If you see this, say hi and reply with #SaveLockwoodandCo #WatchPartyatPortlandRow!! 🧡💙🖤

(Messed up…",0,9,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 11:16:49+00:00,lynxthegreat3,@lavenderghostco @lockwoodandco13 Hi #SaveLockwoodandCo #WatchPartyatPortlandRow !! 🧡💙🖤,1,0,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 10:57:29+00:00,graysonngirl,"RT @the_hollowgirl: ""you feel safe with him."" - Penelope Fittes
edit by: @holloway_giri on tt

#savelockwoodandco #WatchPartyatPortlandRow…",0,6,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 10:33:08+00:00,caitielouise,"RT @mixleven: mind you this was 5 minutes after they met and he was already feeling things for her, plus the way he says “miss Carlyle” BYE…",0,13,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 10:23:56+00:00,1sabellarry,"RT @lockwoodandco13: Just 36 votes, guys! VOTE FROM ANOTHER DEVICES! SHARE THIS ARTICLE EVERYWHERE!!!
#SaveLockwoodandCo #WatchPartyatPortl…",0,42,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 10:23:54+00:00,1sabellarry,"RT @lockwoodandco13: I won't stop until Lockwood and Co will be at the top. 
#SaveLockwoodandCo #WatchPartyatPortlandRow https://t.co/MMp9y…",0,43,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 10:04:31+00:00,bloptea,"RT @lala_slide: the ship                                           the shipper

#SaveLockwoodandCo 
#WatchPartyatPortlandRow https://t.co/v…",0,9,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 09:48:02+00:00,kabitanaik29,RT @BBflowers21: So anyone else think that the L&amp;C cast should do a recording of the audio books? Personally I’d love that 💙🖤🧡 #SaveLockwoo…,0,27,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 09:37:25+00:00,eamenir,"RT @onebignxthing: i wish we could get a closeup of the pictures hanging on the walls at portland row, i’ve seen glances of animals and pla…",0,1,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 09:31:05+00:00,AndreaDuka2356,"RT @lockwoodandco13: Day 8 of hoping Lockwood &amp; Co. will find a new home.
@PrimeVideo @primevideouk @DisneyPlus @DisneyPlusUK @hulu @paramo…",0,8,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 09:20:10+00:00,alisa_isobel,"RT @lockwoodandco13: KEEP VOTING FOR LOCKWOOD AND CO AND SHARING THE ARTICLE, WE'RE DOING VERY GOOD! 
#SaveLockwoodandCo #WatchPartyAtPortl…",0,42,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 09:18:52+00:00,siomha_wilson,"RT @onebignxthing: alarming how quickly u got into character 😏 

#WatchPartyatPortlandRow #SaveLockwoodandCo https://t.co/Zm11uXkepE",0,4,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 08:20:47+00:00,lobotomyllamb,"RT @onebignxthing: i’m still here btw

#WatchPartyatPortlandRow #SaveLockwoodandCo",0,24,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 07:19:13+00:00,hello_1ts_meeh,RT @immzy_: OMG LOCKWOOD AND CO SEASON 2 SPOILERRRRR #SaveLockwoodandCo #WatchPartyatPortlandRow https://t.co/hble3DfmyL,0,41,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 06:41:57+00:00,lobotomyllamb,"RT @alice_mirror_: In books children become agents even earlier, at the age of 8, and obviously had no time to go to school since then, it…",0,24,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 06:39:51+00:00,MackenzieSigler,"RT @lockwoodandco13: KEEP VOTING FOR LOCKWOOD AND CO AND SHARING THE ARTICLE, WE'RE DOING VERY GOOD! 
#SaveLockwoodandCo #WatchPartyAtPortl…",0,42,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 06:26:03+00:00,lovinpages,RT @dublinfives: the fact this is an actual place that i could go to is mad 😭😭 #SaveLockwoodandCo #WatchPartyatPortlandRow https://t.co/Nb0…,0,2,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 06:23:22+00:00,lovinpages,"RT @rayningwater: as a photographer, i have so many fun ideas for Lockwood and Co inspired portraits / self portraits but have no props or…",0,1,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 06:13:16+00:00,WEEWOO_ARF_MEOW,RT @immzy_: OMG LOCKWOOD AND CO SEASON 2 SPOILERRRRR #SaveLockwoodandCo #WatchPartyatPortlandRow https://t.co/hble3DfmyL,0,41,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 05:15:49+00:00,aniselwh,"RT @lockwoodandco13: 🚨IF YOU SEE THIS ON YOUR TL, REPLY WITH #WatchPartyAtPortlandRow PLEASE, THANK YOU",0,18,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 05:09:51+00:00,CHRISHA67371201,"RT @onebignxthing: GOOD MORNING LOCKNATION how we feeling today?!?!???

don’t forget we have another #WatchPartyatPortlandRow 

let’s keep…",0,43,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 04:46:02+00:00,eamenir,"RT @onebignxthing: we love a good cameo! @JonathanAStroud 🥰 (it actually took me like 5 rewatches to notice lol)

#WatchPartyatPortlandRow…",0,36,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 03:27:06+00:00,anniesads_,RT @Ceggle143: Just noticing in ep 4 that Lockwood says “please tell me there’s tea” as if Lucy has made some but then he hands her a mug o…,0,5,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 03:11:02+00:00,PiningAndDining,RT @afflictionism: the best argument scenes are the ones where all characters have valid reasons to get mad so no one's fundamentally wrong…,0,6,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 03:10:58+00:00,PiningAndDining,"RT @nelsonsdragon: This shot, 35 Portland Row is their home #savelockwoodandco #WatchPartyatPortlandRow https://t.co/9GaBY9kYrN",0,3,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 03:10:54+00:00,PiningAndDining,RT @Godsgirljune: Catching up on a lot of tweets that I missed during the #WatchPartyatPortlandRow &amp; I love the noticed details &amp; appreciat…,0,4,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 03:10:48+00:00,PiningAndDining,RT @binniedng: We did well this well y’all ❤️ Give yourself a pat on the back #SaveLockwoodandCo #WatchPartyatPortlandRow https://t.co/5M8l…,0,8,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 03:10:00+00:00,PiningAndDining,"RT @onebignxthing: it’s giving bond vibes 

#WatchPartyatPortlandRow #SaveLockwoodandCo https://t.co/NTwYG0jbCm",0,33,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 02:57:52+00:00,silentrnajority,"@lockwoodandco13 #WatchPartyAtPortlandRow
#LockwoodandCoSeason2 
#SaveLockwoodandCo",0,0,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 02:56:52+00:00,silentrnajority,@lockwoodandco13 #WatchPartyAtPortlandRow Oh HELL yeah,0,0,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 02:40:38+00:00,bunnyellabell,"RT @mixleven: mind you this was 5 minutes after they met and he was already feeling things for her, plus the way he says “miss Carlyle” BYE…",0,13,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 02:40:02+00:00,organicshoes89,RT @sj_hae_migs: I'll say it again Cameron and Ruby's subtle facial acting is wonderful. #SaveLockwoodandCo #WatchPartyatPortlandRow,0,7,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 02:24:39+00:00,Godsgirljune,RT @RebekahBlazek: PLEASE I would love this. The whole scene where he gets ghost locked on the stage had me on the edge of my seat #SaveLoc…,0,2,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 02:09:19+00:00,Tortoislume,@GoldShadowSoc #LockwoodandCo #SaveLockwoodandCo #renewlockwoodandco #GhostHuntersWatchParty #hauntedwatchparty  #WatchPartyatPortlandRow,0,0,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 01:57:13+00:00,Tortoislume,@feyblabla Oh wow wow wow!!! #LockwoodandCo #SaveLockwoodandCo #GhostHuntersWatchParty #WatchPartyatPortlandRow,1,0,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 01:40:21+00:00,Pisces_Lima,"RT @onebignxthing: it’s giving bond vibes 

#WatchPartyatPortlandRow #SaveLockwoodandCo https://t.co/NTwYG0jbCm",0,33,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 01:40:02+00:00,TheWatcher0236,"RT @evagarridovida1: Vote for our silly little ghost show!! We are almost over the Winchesters!!! #SaveLockwoodandCo
#WatchPartyatPortlandR…",0,2,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 01:39:09+00:00,TheWatcher0236,RT @Thebiscuitrule: Also this reminds me how amused I am by how everytime one of them is reading out a book/newspaper they follow the words…,0,9,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 01:35:54+00:00,TheWatcher0236,"RT @onebignxthing: we love a good cameo! @JonathanAStroud 🥰 (it actually took me like 5 rewatches to notice lol)

#WatchPartyatPortlandRow…",0,36,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 01:29:05+00:00,sybilp2022,RT @evagarridovida1: Uhhh i can't handle it anymore I just miss them so much 😭. Netflix why did you take them away from me WHY WHY WHY #Sav…,0,8,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 01:28:52+00:00,PiningAndDining,"RT @onebignxthing: she’s just an associate / he’s my             employer

and it’s just two fools looking at each other like that 

#Watch…",0,40,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 01:27:45+00:00,TheWatcher0236,"RT @lockwoody_: was i too real for this 
#SaveLockwoodandCo #WatchPartyatPortlandRow https://t.co/O5drwONUM8",0,5,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 01:27:37+00:00,PiningAndDining,"RT @lockwoody_: ""i forgot to bring the chains 😇☺️😙""
#SaveLockwoodandCo #WatchPartyatPortlandRow 

(@TheEvaEm @nemesisn15 i posted 2 gifsets…",0,13,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 01:23:17+00:00,sybilp2022,RT @RebekahBlazek: “More than just a colleague then?” How he slaps his hand to his chest and looks at Adelaide #SaveLockwoodandCo #WatchPar…,0,4,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 01:23:00+00:00,TheWatcher0236,"RT @lavenderghostco: can we talk about the juxtaposition of the scenes in which we see Lockwood and George alone, talking about Lucy?
""I th…",0,14,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 01:22:07+00:00,SaturnWidow,RT @vxsmxrianne: if my future partner doesn’t look at me like that.  i don’t want love. #WatchPartyatPortlandRow #SaveLockwoodandCo https:/…,0,21,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 01:14:03+00:00,kelsey_kaden,"RT @onebignxthing: i’m still here btw

#WatchPartyatPortlandRow #SaveLockwoodandCo",0,24,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 01:04:53+00:00,PiningAndDining,"RT @LordHaveMercer: ""I cant compete with that""
""I never asked you to""

Because Lockwood and co are perfect for Lucy regardless
#Lockwoodand…",0,6,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 00:55:37+00:00,Cinnaminminmin,"RT @onebignxthing: we were so robbed of this scene

#WatchPartyatPortlandRow #SaveLockwoodandCo https://t.co/EdMh8DrSxp",0,25,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 00:47:45+00:00,cxpectations,RT @Ceggle143: Just noticing in ep 4 that Lockwood says “please tell me there’s tea” as if Lucy has made some but then he hands her a mug o…,0,5,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 00:45:09+00:00,kelsey_kaden,"RT @onebignxthing: we love a good cameo! @JonathanAStroud 🥰 (it actually took me like 5 rewatches to notice lol)

#WatchPartyatPortlandRow…",0,36,#WatchPartyatPortlandRow
1.66e+18,2023-05-23 00:36:03+00:00,SaturnWidow,"RT @orecchiett: Locknation, can you drop your memes here?
#SaveLockwoodandCo #WatchPartyatPortlandRow 
I’ll start https://t.co/qYW3wWXELs",0,2,#WatchPartyatPortlandRow
